index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003, Q 0000,IV Q 2000,IV Q 2001
Przychody netto ze sprzedaÅ¼y (tys. zl),173562,125308,160231,149845,151620,114491,141346,131030,138634,103657,122508,126204,134931,97649,113066,120008,118644,87332,107534,110327,101882,76610,93551,91581,86316,67387,74845,79827,92848,62034,76283,70040,75923,61111,76492,70729,67258,52452,67645,63157,70429,49963,68537,60100,59539,50602,59683,67812,41584,36279,63950,63483,0,28341,33860,32634,59539,0,0
Zysk (strata) z dzialal. oper. (tys. zl),2612,-6675,5527,-157,5605,-3134,2119,579,4753,-816,2941,4632,-12746,-3234,1009,394,8133,-6460,-2463,-6533,7079,-2760,4578,-776,6472,-1649,3103,1220,5792,-14427,-8572,-5433,-1753,665,4280,1437,8823,-4823,1700,-3194,-9525,-5497,4215,-878,3501,-3040,-5195,-2313,2958,2913,4235,1773,0,6708,4975,3022,3501,0,0
Zysk (strata) brutto (tys. zl),-496,-6848,6706,-80,-205,-5433,1911,237,4771,-1830,1726,941,-12988,-4218,209,855,5585,-6170,-3333,-5916,6395,-2337,3741,-2392,5427,-2286,1878,1950,3270,-15415,-2764,-3212,-2844,478,3565,660,10186,-5678,1537,-3614,-11423,-6885,-154,-2261,6840,-5201,-6513,-3138,4440,2670,2564,5329,0,6197,5133,2299,6840,0,0
Zysk (strata) netto (tys. zl),-3758,-6417,2390,-648,7694,-5672,-1297,-2418,3346,-2581,538,-82,-12098,-3381,1177,290,3720,-5489,-3510,-5886,3762,-1981,3591,-2270,2991,-1566,1659,1548,1517,-14513,-1827,-3839,-2924,356,2839,424,8871,-5105,1779,-2959,-10065,-6292,-714,-1749,5393,-4472,-4295,-3610,3301,2091,1980,4331,0,4378,3811,1584,5393,0,0
Amortyzacja (tys. zl),2162,2032,1887,2030,1911,1891,1937,1957,1952,1847,1816,1929,2440,2216,2047,1873,2091,2130,2271,2371,1625,1682,1847,1979,1571,1425,1542,1623,1721,1591,1490,1418,1676,1587,1638,1690,1644,1692,1762,1759,1413,1597,1553,1593,1377,1085,1390,1255,995,767,1019,643,0,291,324,346,559,0,0
EBITDA (tys. zl),4774,-4643,7414,1873,7516,-1243,4056,2536,6705,1031,4757,6561,-10306,-1018,3056,2267,10224,-4330,-192,-4162,8704,-1078,6425,1203,8043,-224,4645,2843,7513,-12836,-7082,-4015,-77,2252,5918,3127,10467,-3131,3462,-1435,-8112,-3900,5768,715,4878,-1955,-3805,-1058,3953,3680,5254,2416,0,6999,5299,3368,4060,0,0
Aktywa (tys. zl),270900,281178,269791,297444,245412,255846,244302,287134,202895,197097,186132,232389,201934,194255,183214,195533,192669,199500,195487,233513,0,151587,155926,0,148154,140468,148269,0,165181,156983,144310,0,159509,153497,151982,0,186659,167815,166753,0,215229,211911,200925,0,204647,220025,222091,0,114210,138656,246235,231252,50942,74278,73176,93767,211525,23478,28497
Kapital wlasny (tys. zl),95322,88662,90566,89936,95808,88350,101270,99211,51636,44730,45539,54030,47275,45198,46429,47023,77306,70371,64267,60545,0,70081,70736,0,67150,65598,67367,0,69172,55106,52116,0,64533,64995,68053,0,74984,69999,71034,0,73710,67896,68322,0,96154,91901,87445,0,87803,90948,92748,97341,23674,28178,29581,31030,103066,6709,16227
Liczba akcji (tys. szt.),"34666,200","34666,200","35709,244","35709,244","34666,200","34666,200","34666,200","34666,200","26938,020","26938,020","26938,020","34666,200","26938,020","26938,020","26938,020","26938,020","26938,020","26938,020","26938,020","26938,020","26938,020","26938,020","26938,020","26938,020","26938,020","26938,020","26938,020","26938,020","20938,020","20938,020","20938,020","26938,020","20938,020","20938,020","20938,020","20938,020","20938,020","20938,020","20938,020","20938,020","20880,000","20907,770","20923,520","20923,520","20880,000","20880,000","20880,000","20880,000","20880,000","20880,000","20880,000","20880,000","35709,244","35709,244","35709,244","35709,244","20880,000","35709,244","35709,244"
Zysk na akcje (zl),"-0,108","-0,185","0,067","-0,018","0,222","-0,164","-0,037","-0,070","0,124","-0,096","0,020","-0,002","-0,449","-0,126","0,044","0,011","0,138","-0,204","-0,130","-0,219","0,140","-0,074","0,133","-0,084","0,111","-0,058","0,062","0,057","0,072","-0,693","-0,087","-0,143","-0,140","0,017","0,136","0,020","0,424","-0,244","0,085","-0,141","-0,482","-0,301","-0,034","-0,084","0,258","-0,214","-0,206","-0,173","0,158","0,100","0,095","0,207","0,000","0,123","0,107","0,044","0,258","0,000","0,000"
