index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2004,IV Q 2005,III Q 2006
Przychody netto ze sprzedaÅ¼y (tys. USD),366846,249095,248320,276052,458586,281809,245352,287606,573706,342390,361535,388659,566397,443824,464654,438243,470157,379183,365755,433543,477069,349619,302880,359419,409714,330995,269561,357437,363266,237914,231254,289024,464221,360082,344722,427254,342146,259227,280829,393072,0,0,240280
Zysk (strata) z dzialal. oper. (tys. USD),6341,3269,3550,5523,6906,-8608,-3734,2946,11206,2968,1649,4735,8569,7477,5857,7399,10647,4607,2796,5107,4530,3751,-1414,2676,5096,1835,-1052,4116,-3300,-4508,209,2092,12127,8935,4642,5237,8179,3265,2498,8182,0,0,3752
Zysk (strata) brutto (tys. USD),2214,460,246,1824,5524,-12498,-6986,208,6367,-3350,-1446,527,5497,4192,1961,3845,8941,2576,590,2589,2476,1072,-3891,745,2989,252,-1938,1462,-6693,-6168,-687,1048,10448,7660,2951,3208,6960,2160,1686,7113,0,0,2867
Zysk (strata) netto (tys. USD),2034,398,216,1374,5307,-12403,-6943,153,4938,-3392,-1443,479,4436,3329,1370,3029,8048,2242,310,2023,1762,783,-3767,353,2306,127,-2148,1209,-6411,-6194,-334,1014,9366,5528,1746,3157,4567,1862,1306,6152,0,0,2420
Amortyzacja (tys. USD),661,533,518,535,687,629,643,643,877,779,707,703,818,673,657,695,818,679,632,732,798,754,783,734,755,721,745,746,873,724,709,708,494,563,650,746,546,444,469,491,0,0,456
EBITDA (tys. USD),7002,3802,4068,6058,7593,-7979,-3091,3589,12083,3747,2356,5438,9387,8150,6514,8094,11465,5286,3428,5839,5328,4505,-631,3410,5851,2556,-307,4862,-2427,-3784,918,2800,12621,9498,5292,5983,8725,3709,2967,8673,0,0,4208
Aktywa (tys. USD),381604,362710,354441,367213,493160,376984,358372,383202,623966,494661,474843,481287,506869,456325,473382,519729,438751,409532,388567,0,465627,423560,365726,0,385823,375636,344203,0,362891,298317,300780,0,365905,374026,374184,0,236152,0,235147,0,169502,207073,0
Kapital wlasny (tys. USD),81324,82692,82693,84252,103472,87956,81825,80790,113289,109075,104016,101874,102944,105333,103812,107892,95376,98884,95085,0,91335,93260,89888,0,91032,90856,87602,0,94882,87168,87522,0,95700,101965,101077,0,60153,0,62488,0,43233,50960,0
Liczba akcji (tys. szt.),"55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55500,000","55475,248","55475,248","55475,248","55475,248","48000,000","48000,000","48000,000","48000,000","48000,000","48000,000","48000,000"
Zysk na akcje (USD),"0,037","0,007","0,004","0,025","0,096","-0,223","-0,125","0,003","0,089","-0,061","-0,026","0,009","0,080","0,060","0,025","0,055","0,145","0,040","0,006","0,036","0,032","0,014","-0,068","0,006","0,042","0,002","-0,039","0,022","-0,116","-0,112","-0,006","0,018","0,169","0,100","0,031","0,057","0,095","0,039","0,027","0,128","0,000","0,000","0,050"
Wartosc ksiegowa na akcje (USD),"1,465","1,490","1,490","1,518","1,864","1,585","1,474","1,456","2,041","1,965","1,874","1,836","1,855","1,898","1,870","1,944","1,718","1,782","1,713","0,000","1,646","1,680","1,620","0,000","1,640","1,637","1,578","0,000","1,710","1,571","1,577","0,000","1,725","1,838","1,822","0,000","1,253","0,000","1,302","0,000","0,901","1,062","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
