index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1999,I Q 2000,II Q 2000,III Q 2000, Q 0000,II Q 1998,IV Q 1998,II Q 1999
Przychody netto ze sprzedaÅ¼y (tys. zl),339304,350574,382425,336048,415269,239233,336987,359907,300987,313092,388661,392502,386640,456621,372667,503088,1024980,712216,950350,879843,681746,549339,874041,941252,756679,528169,611060,749394,695189,570760,626084,747283,560240,417653,522183,577782,390444,355685,453412,559086,265458,178341,284683,334664,203537,127444,226525,217010,197198,112218,187309,180777,229525,138008,186685,190945,205597,150933,152655,195012,239072,147653,153685,146882,0,140680,192950,230330,201456,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),18085,16887,10523,12167,-2632,1647,12558,16772,-153283,7049,9803,9711,-90923,-15773,-37593,-30801,-127923,-8185,1646,-22443,12138,-36,11164,-27971,44221,22783,28494,20918,37075,55298,51240,33047,13196,18684,21921,44869,-8507,-6376,23093,28969,-1713,3788,13620,12281,-41166,-4215,-6787,5547,-12056,-3874,11637,-12141,7883,-3951,-20862,4205,3649,-286,554,4895,-28438,20450,-897,-4590,0,-5623,-12708,6269,-34615,0,0,0
Zysk (strata) brutto (tys. zl),16233,15835,1786,16527,-13007,3068,10279,11464,-156827,7282,5333,4699,-99875,-26468,-55408,-28924,-132413,-10093,-3701,-25335,10355,4032,8913,-29633,52826,27306,29199,21121,19097,38509,49094,28482,15601,27210,28872,45037,-5681,-5918,23703,28953,-12494,2846,7256,15113,-25467,-5683,-8383,7604,-10945,-3490,9462,-17733,9546,-3175,-25157,10864,690,479,1165,5585,-29993,20219,-751,-2731,0,-5415,-16938,5122,-19500,0,0,0
Zysk (strata) netto (tys. zl),13025,12136,1677,13621,-22205,2407,7599,8801,-191473,1574,5671,3411,-81163,-20836,-40875,-34735,-111160,-12926,-3170,-17014,6578,643,7953,-21966,43730,18646,23351,13913,11415,26902,34388,15313,13139,19159,21108,30432,-1033,-7768,28231,20024,-14049,467,8798,8757,-29051,-7236,-12425,4453,-9497,-5163,6206,-15351,11015,-2937,-28485,9586,388,345,-2461,2408,-27125,14430,-4659,-1562,0,-6619,-14647,3520,-24512,0,0,0
Amortyzacja (tys. zl),3239,2846,2741,2750,5690,3589,3282,2960,6046,6430,7064,6464,7925,10503,7344,7713,10055,9159,8893,8946,8954,9617,9922,10486,7377,9314,7390,9713,6637,6646,6867,6988,5605,4971,5191,6049,5289,4215,5650,4116,5174,4556,4803,4785,3625,3815,4454,4543,3759,3856,3206,3958,2450,2530,3140,2895,5380,2917,2330,2482,3551,3098,2003,2667,0,3504,3465,3532,141,0,0,0
EBITDA (tys. zl),21324,19733,13264,14917,3058,5236,15840,19732,-147237,13479,16867,16175,-82998,-5270,-30249,-23088,-117868,974,10539,-13497,21092,9581,21086,-17485,51598,32097,35884,30631,43712,61944,58107,40035,18801,23655,27112,50918,-3218,-2161,28743,33085,3461,8344,18423,17066,-37541,-400,-2333,10090,-8297,-18,14843,-8183,10333,-1421,-17722,7100,9029,2631,2884,7377,-24887,23548,1106,-1923,0,-2119,-9243,9801,-34474,0,0,0
Aktywa (tys. zl),1287135,1261647,1229424,1197482,1367462,1300793,1389274,1323579,1610141,1469009,1474062,1554558,1953260,1843459,1873949,1889683,1939793,1825644,2141574,2122464,1627475,1570325,1790607,0,1504919,1445286,1452659,0,1275796,1403911,1518156,0,1008998,991096,1146653,0,750167,752253,882436,0,480381,529725,643475,0,492148,465316,539015,0,449590,443462,545172,0,495735,443591,470265,474264,402242,436508,443543,482558,454967,403591,396029,379813,427301,460790,445982,507167,446094,241541,287074,400316
Kapital wlasny (tys. zl),200060,212341,214055,227638,168285,170556,178029,186900,179241,181103,186514,189950,266770,246056,204990,170292,381528,368218,365164,348181,517633,521388,514930,0,482459,502736,496511,0,337687,350368,401905,0,284884,304041,323903,0,224320,216524,252353,0,88488,88758,217087,0,117809,110581,97836,0,126208,117754,162039,0,158185,154894,126600,136235,149459,148112,144742,147157,151280,163506,159518,150325,196705,190087,175833,178392,83730,184096,191711,200354
Liczba akcji (tys. szt.),"20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","10000,000","10000,000","20000,000","20000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000","10000,000"
Zysk na akcje (zl),"0,651","0,607","0,084","0,681","-1,110","0,120","0,380","0,440","-9,574","0,079","0,284","0,171","-4,058","-1,042","-2,044","-1,737","-5,558","-0,646","-0,159","-0,851","0,329","0,032","0,398","-1,098","2,187","0,932","1,168","0,696","0,571","1,345","1,719","0,766","0,657","0,958","1,055","1,522","-0,052","-0,388","1,412","1,001","-1,405","0,047","0,440","0,438","-2,905","-0,724","-1,243","0,445","-0,950","-0,516","0,621","-1,535","1,102","-0,294","-2,849","0,959","0,039","0,035","-0,246","0,241","-2,713","1,443","-0,466","-0,156","0,000","-0,662","-1,465","0,352","-2,451","0,000","0,000","0,000"
