index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),25601,21538,24335,20221,34984,39205,27521,24142,30409,49075,55156,47743,20342,35823,20794,24063,18516,17286,17596,17119,18790,20561,21453,16607,17206,14732,15443,15332,19216,16096,16140,17484,17157,15446,16732,17047,17298,15807,16534,16934,18854,14999,15276,16992,17814,15652,18635,15563,22400,17488,17416,15784,13581,26709,29068,25262,16928,19115,18186,13849,0,16292,13435,13358,0,0,0,0,17814,0
Zysk (strata) z dzialal. oper. (tys. zl),2328,2626,1822,609,6158,7926,3071,2475,2571,9005,7266,5459,2458,8606,1855,2391,-216,242,828,1952,-1125,3029,-314,-382,1042,1287,1484,1183,1916,1853,1363,1953,2088,2365,2122,2375,1134,2265,2697,2892,2020,2127,2337,2388,1533,1634,1577,980,1839,2078,295,1333,389,499,-215,494,523,3004,472,210,0,154,-2654,1200,0,0,0,0,1533,0
Zysk (strata) brutto (tys. zl),2053,1157,1322,-328,6241,6389,2855,2242,2778,8926,7341,5730,2459,8730,2102,2486,-704,291,909,687,-2162,3012,-198,-485,985,1229,1439,1149,1832,1505,1412,1739,1942,2095,2058,2200,1219,2179,2450,2533,1895,2046,1986,2297,-34,1464,1471,1047,292,1844,-504,669,-888,159,-3491,568,-1438,2525,-154,148,0,-1203,-3916,119,0,0,0,0,-34,0
Zysk (strata) netto (tys. zl),1779,634,1037,-434,5738,4793,2461,1931,2253,7265,6042,5072,2058,7117,1664,1890,-824,187,708,3,-2014,2458,1118,-520,713,972,1175,906,1329,1221,1070,1367,1488,1615,1649,1739,852,1717,1990,2019,1431,1617,1554,1887,-135,1306,1083,766,503,1518,-856,369,1435,-73,-3608,304,-2698,1855,-410,-605,0,-1150,-2994,171,0,0,0,0,-135,0
Amortyzacja (tys. zl),1180,1211,1142,1016,915,963,1007,1150,1122,1102,1134,905,810,838,865,821,768,781,844,851,664,690,687,730,624,617,665,656,689,628,648,604,661,698,696,689,728,758,697,764,719,689,729,711,1168,693,686,746,1071,1094,1148,1210,546,1439,4108,1231,1015,830,810,786,0,1062,1049,950,0,0,0,0,1303,0
EBITDA (tys. zl),3508,3837,2964,1625,7073,8889,4078,3625,3693,10107,8400,6364,3268,9444,2720,3212,552,1023,1672,2803,-461,3719,373,348,1666,1904,2149,1839,2605,2481,2011,2557,2749,3063,2818,3064,1862,3023,3394,3656,2739,2816,3066,3099,2701,2327,2263,1726,2910,3172,1443,2543,935,1938,3893,1725,1538,3834,1282,996,0,1216,-1605,2150,0,0,0,0,2836,0
Aktywa (tys. zl),158269,156632,151857,156021,159489,137819,156002,154383,97690,127802,141866,123570,65408,76695,77476,80780,65026,65570,64486,60834,61135,70226,64500,0,58305,59470,60463,0,56124,58054,57021,0,58790,58903,52078,0,57967,58993,60194,0,53326,61148,59243,59156,59955,60438,63018,53705,63899,71405,64976,62252,68004,70348,64447,57576,63997,65371,60406,53620,92031,84976,72024,72289,77128,83825,96447,96789,58981,64378
Kapital wlasny (tys. zl),79312,79946,73202,72768,81728,86553,75569,77569,57696,64946,70940,76035,47437,54548,56260,55449,44451,44642,45390,45387,42149,44680,45802,0,41060,41995,43179,0,37847,39039,39740,0,39917,40755,34658,0,36947,38735,36538,0,36594,38145,34069,35996,36154,37451,33803,35366,29618,32523,31006,36555,33979,34909,28834,29138,30214,32930,32500,31895,39347,38299,32162,32346,51853,49851,50564,50535,35608,48554
Liczba akcji (tys. szt.),"16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","16281,590","12660,000","12660,000","12660,000","16281,590","12660,000","12660,000","12660,000","12660,000","12660,000","12660,000","12660,000","12660,000","12660,000","12660,000","12660,000","12660,000","12660,000","12660,000","12660,000","12660,000","1613,705","12660,000"
Zysk na akcje (zl),"0,109","0,039","0,064","-0,027","0,352","0,294","0,151","0,119","0,138","0,446","0,371","0,312","0,126","0,437","0,102","0,116","-0,051","0,011","0,043","0,000","-0,124","0,151","0,069","-0,032","0,044","0,060","0,072","0,056","0,082","0,075","0,066","0,084","0,091","0,099","0,101","0,107","0,052","0,105","0,122","0,124","0,088","0,099","0,095","0,116","-0,008","0,080","0,067","0,047","0,040","0,120","-0,068","0,023","0,113","-0,006","-0,285","0,024","-0,213","0,147","-0,032","-0,048","0,000","-0,091","-0,236","0,014","0,000","0,000","0,000","0,000","-0,084","0,000"
