index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),57173,60131,88677,88436,130289,106968,79069,68164,89626,81553,115256,112889,123497,79678,90488,76744,109086,164843,94156,114104,84021,94621,79734,80132,60641,51287,71974,66809,75548,76520,81225,77264,72195,73988,87215,97769,63651,66539,78907,81359,37967,40779,61082,76712,73567,76722,86571,70066,31146,32420,48498,71910,26445,29742,39446,42362,34820,25808,26986,26996,0,35009,32453,42206,0,0,0,0,73567,0
Zysk (strata) z dzialal. oper. (tys. zl),-54839,436,4860,4957,142,412,2015,442,-2660,1871,917,1098,4703,-2251,-42222,5590,10399,6828,455,3994,-6221,6378,-899,-3509,1916,-2062,-3053,-2262,4605,6720,-4056,9390,4559,1534,3570,6286,3583,1158,5076,4624,1561,-527,3597,8415,2255,3301,2641,3510,-459,-2503,456,6404,-8023,-1332,2077,224,-3706,-2762,-4378,-3020,0,-7054,-5996,-97,0,0,0,0,2255,0
Zysk (strata) brutto (tys. zl),-57065,4,3316,3273,-2135,-19,-251,-775,-4609,773,-551,-449,2152,-3806,-44714,3520,6064,3892,-1918,-168,-12953,4865,-306,-5308,803,-2856,-4070,3455,6056,-17690,18742,8363,3833,2333,3102,7591,1843,1566,4871,4765,544,64,3675,7869,8450,2443,1409,3943,-4621,-4508,2577,5672,-9947,-6752,-950,-1608,-3605,-6734,-9034,-929,0,-6254,-6305,-6194,0,0,0,0,8450,0
Zysk (strata) netto (tys. zl),-49076,-1620,4209,2547,-396,-714,1044,-912,-8531,488,-944,-697,1598,-4280,-42621,1520,5067,3660,-1615,-735,-5465,4013,-311,-4823,606,-3852,-3751,3168,786,-16393,18684,5948,1893,1228,2218,6341,1850,1339,4093,4679,464,64,3597,7773,8450,2443,1409,3943,-4621,-4508,2577,5672,-10067,-6752,-950,-1608,-3558,-6697,-9038,-929,0,-6566,-6617,-6194,0,0,0,0,8450,0
Amortyzacja (tys. zl),3071,3130,3291,3408,2825,2920,2936,3081,2973,2734,2754,2752,2890,2980,2973,3024,2726,2737,2740,2856,3229,2741,2734,2732,3212,3221,3193,3216,2684,2820,3269,3204,2351,2526,2613,2685,2261,2256,2245,2353,2284,2279,2262,2225,2354,2252,2258,2279,2356,2349,2340,2328,2892,2597,2548,2466,3430,3492,3321,3083,0,3412,3281,3241,0,0,0,0,9071,0
EBITDA (tys. zl),-51768,3566,8151,8365,2967,3332,4951,3523,313,4605,3671,3850,7593,729,-39249,8614,13125,9565,3195,6850,-2992,9119,1835,-777,5128,1159,140,954,7289,9540,-787,12594,6910,4060,6183,8971,5844,3414,7321,6977,3845,1752,5859,10640,4609,5553,4899,5789,1897,-154,2796,8732,-5131,1265,4625,2690,-276,730,-1057,63,0,-3642,-2715,3144,0,0,0,0,11326,0
Aktywa (tys. zl),262718,277740,272772,276420,327295,358057,352201,330930,317273,313272,345533,349918,382444,431233,362817,319698,446813,444274,427130,391768,339122,362132,349900,0,303207,310678,326964,0,340529,348040,323539,0,299265,301487,307522,0,246811,255537,260322,0,221960,212047,213803,0,218362,236020,228294,220889,184538,214880,188740,214331,181440,190744,191022,192276,207817,199167,195954,184901,223585,214805,212604,220963,232171,257514,253211,254145,213590,176121
Kapital wlasny (tys. zl),47993,46373,50557,53104,97731,96403,97527,96615,101255,101743,100772,100075,155112,154191,108211,109731,162114,160075,154503,153424,160902,164916,164605,0,166355,171736,167985,0,163413,147020,164008,0,114912,154059,156304,0,102907,104246,108340,0,89877,89941,93538,0,64543,61894,81650,85705,46705,59433,44497,50169,51129,44377,43427,51319,84693,78396,68247,61576,94998,93626,90888,88251,141483,141930,141474,123440,58364,138572
Liczba akcji (tys. szt.),"24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","24543,252","12271,626","24543,252","24543,252","24543,252","12271,626","12271,626","12271,626","12271,626","12271,626","12271,626","12271,626","12271,626","10388,433","10388,433","12271,626","12271,626","10388,433","10388,433","10388,433","10388,433","7314,000","7314,000","7314,000","10388,433","7314,000","7314,000","7314,000","7314,000","7314,000","7314,000","7314,000","7314,000","7314,000","7314,000","7314,000","7314,000","10388,433","7314,000"
Zysk na akcje (zl),"-2,000","-0,066","0,171","0,104","-0,016","-0,029","0,043","-0,037","-0,348","0,020","-0,038","-0,028","0,065","-0,174","-1,737","0,062","0,206","0,149","-0,066","-0,030","-0,223","0,164","-0,013","-0,197","0,025","-0,157","-0,153","0,129","0,032","-0,668","0,761","0,242","0,154","0,050","0,090","0,258","0,151","0,109","0,334","0,381","0,038","0,005","0,293","0,633","0,813","0,235","0,115","0,321","-0,445","-0,434","0,248","0,546","-1,376","-0,923","-0,130","-0,155","-0,486","-0,916","-1,236","-0,127","0,000","-0,898","-0,905","-0,847","0,000","0,000","0,000","0,000","0,813","0,000"
