index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001, Q 0000
Przychody z tytulu odsetek (tys. zl),812558,57969,55217,52662,308883,82417,55293,56853,354300,339218,330745,323793,467847,426787,396312,360791,525817,492550,490860,479427,548790,530140,534537,539773,610500,575443,581140,573580,685415,647344,605337,190962,173762,186795,184922,201479,95947,132163,133524,137884,765196,796954,841304,859608,1014554,725798,755754,737201,626501,558725,612275,718381,729239,643697,605353,595380,1119373,881822,810928,789264,0,1367318,1311039,1239926,810928
Przychody z tytulu prowizji (tys. zl),366666,9165,9224,8624,126786,14951,11653,11274,192442,131816,132956,115744,93909,138931,137572,141131,189557,178935,179387,168154,227252,215259,205033,199744,243125,223751,229783,234907,249356,225421,240090,141528,146093,117545,122689,122333,123979,119481,144362,139658,360032,391361,417381,402882,312264,286670,321594,326471,237092,255394,252016,272532,197226,182422,202368,228595,183184,165476,176100,179748,0,161760,162771,168587,176100
Wynik na dzialalnoÅci bankowej (tys. zl),1013416,25212,55111,57914,347245,42354,78148,46681,408499,349459,346261,343909,441504,390384,361409,359059,483411,468477,455248,436808,566943,502730,496843,499204,586779,547376,552355,558426,566505,562865,556997,231718,252411,234550,216108,242330,134790,198536,204287,203087,810246,846817,875262,900431,786262,741739,752160,779777,674060,671547,731074,653742,721948,677677,634784,604351,856630,669773,677174,727597,0,660639,699115,709477,677174
Zysk (strata) brutto (tys. zl),-1147966,-133442,12038,25127,28184,-6002,35163,13565,64688,39611,47643,56123,90967,57701,60684,81830,80913,80997,50800,119437,82159,65603,75776,74080,-50278,-62560,-203794,52188,30133,24776,-55151,16241,104519,67761,44805,51486,86170,58476,53693,67464,393234,363267,403777,408063,264479,255827,322150,323234,190362,193660,311710,216897,77465,159525,127969,125476,-57104,87178,59829,22477,0,137083,81865,71625,59829
Zysk (strata) netto (tys. zl),-1094993,-485029,68939,4429,10632,12457,5308,4847,43178,27991,33516,39666,69198,41836,44553,62816,59982,60963,35578,92790,52309,47444,56465,54266,-33060,-54356,-169924,36762,50092,19782,-23940,22320,271608,47053,28543,36274,350661,463452,394042,441491,311060,284580,324157,308371,203018,205453,249554,261381,51919,154917,261910,159596,7351,104259,100302,66709,208549,58273,56753,11158,0,91942,31066,20785,56753
Amortyzacja (tys. zl),23344,26622,394,329,20862,19894,22012,23215,23737,19600,20477,23389,20878,19524,20227,27643,0,0,0,21107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68565,0,77511,0,67022,81217,80825,64596,79965,76010,90830,63888,0,76410,77863,80264,236267
Aktywa (tys. zl),31339884,32132288,31480416,30137956,31600923,32144555,33353667,31921857,33003963,31920856,31575294,31121711,34416439,34568419,34415791,33637465,37030772,35786105,35451836,34533509,37290850,37489549,37724498,38562329,35214893,36236385,39298374,36093978,36677522,15545952,14775306,15270469,13021762,12599659,12118075,12515469,64757089,61226921,60746107,61324909,57922199,62721426,64395487,65407024,51637754,52884760,58946428,61140546,48378572,47167248,47094642,50426155,45095151,45385880,45435172,46026690,46083579,44404998,45347538,44996810,43282179,43440983,44947175,46022159,45347538
Kapital wlasny (tys. zl),4037800,3556002,3558698,3563498,5037084,5050064,5054852,5059691,4928966,4955444,4990648,5032232,4735647,4776635,4821145,4882096,4470356,4531214,4566220,4660803,4252787,4298595,4358179,4411457,4389522,4336259,4165573,4202007,4358949,1616282,1560083,1582451,1500504,1551104,1557253,1623914,6860855,7155548,6387558,6845726,6360856,6665879,6104464,6442972,5839092,6143637,6520513,6125252,5302084,5403846,5370566,5567298,5019828,5134763,5193483,5258815,5010461,5065483,5004314,5017105,4857343,4949286,4783966,4795392,5004314
Liczba akcji (tys. szt.),"76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","76667,911","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230","28716,230"
Wartosc ksiegowa na akcje (zl),"52,666","46,382","46,417","46,480","65,700","65,869","65,932","65,995","64,290","64,635","65,094","65,637","61,768","62,303","62,883","63,678","58,308","59,102","59,558","60,792","55,470","56,068","56,845","57,540","57,254","56,559","54,333","54,808","151,794","56,285","54,328","55,107","52,253","54,015","54,229","56,550","238,919","249,181","222,437","238,392","221,507","232,129","212,579","224,367","203,338","213,943","227,067","213,303","184,637","188,181","187,022","193,873","174,808","178,810","180,855","183,130","174,482","176,398","174,268","174,713","169,150","172,352","166,595","166,992","1,976"
