index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),533034,334262,406302,495548,428803,280092,415180,321784,185696,183808,274908,295953,263079,183769,197636,181002,312153,321271,425976,281065,308406,199852,264213,313041,259880,239709,311263,284294,305810,211468,271284,217713,292467,260440,286313,272817,288524,178752,337320,294928,118657,120305,172953,195432,107623,105258,151711,127365,126721,64633,109173,110675,134507,86162,127483,118797,148163,108166,162277,152267,0,70944,82288,114199,0,0,0,0,105620,0
Zysk (strata) z dzialal. oper. (tys. zl),14806,6715,3937,19277,13324,7748,7413,10752,-2507,2509,13018,8868,-17719,3701,2154,-33068,1047,17109,8556,7100,19813,10842,16709,31575,13745,17222,14447,13627,32210,22395,9247,8038,10801,9066,12593,6909,10960,5001,288,4896,2741,94,3251,6642,4029,5033,1579,5065,5907,-3313,6568,-103240,3311,1047,3336,4348,7358,2787,6859,2340,0,2347,-18227,11605,0,0,0,0,6317,0
Zysk (strata) brutto (tys. zl),16136,5698,4238,18539,15599,6339,13598,10006,-5311,4297,9442,5079,-28003,5091,3325,-143459,6157,17196,5209,4678,17821,12648,16234,39636,19194,13294,16717,13689,28621,12972,7656,12375,6620,6366,5956,7774,7126,4517,1389,4462,1750,777,4660,4626,-259,3988,-55,1727,8965,-3133,1270,-105568,806,2882,5039,2429,6318,1229,7206,2011,0,4854,-18763,8449,0,0,0,0,1209,0
Zysk (strata) netto (tys. zl),12550,4354,3174,14599,4027,2195,11730,7595,-2129,3368,9920,5268,-24684,3384,3273,-139877,744,13349,18082,3088,14080,9859,13127,31269,16773,10047,12781,10724,-22576,8801,3826,8349,4545,2218,4126,4637,6020,3331,660,3655,1261,450,3212,3100,-560,2580,233,1144,1358,-2192,613,3726,1864,1892,1652,313,12891,1696,3250,2264,0,2141,-19722,3639,0,0,0,0,528,0
Amortyzacja (tys. zl),3308,3498,3648,3777,3310,3246,3083,3196,3160,3136,3181,3211,3238,3152,3178,3155,3245,5111,6146,3194,2940,3071,3157,3191,2901,2964,3013,2983,4181,3540,3375,3813,3871,3433,3870,3862,2683,2714,3252,3224,2349,2541,2707,2817,2986,3244,1815,2692,2474,2408,2513,2608,2859,2519,2561,2430,3203,2974,3199,3099,0,3307,3204,3183,0,0,0,0,116,0
EBITDA (tys. zl),18114,10213,7585,23054,16634,10994,10496,13948,653,5645,16199,12079,-14481,6853,5332,-29913,4292,22220,14702,10294,22753,13913,19866,34766,16646,20186,17460,16610,36391,25935,12622,11851,14672,12499,16463,10771,13643,7715,3540,8120,5090,2635,5958,9459,7015,8277,3394,7757,8381,-905,9081,-100632,6170,3566,5897,6778,10561,5761,10058,5439,0,5654,-15023,14788,0,0,0,0,6433,0
Aktywa (tys. zl),1251218,1282103,1158656,1262400,1146562,1110419,1161026,1237729,1065402,925832,1076268,1114491,1306411,1260778,1225898,1127244,1386076,1573572,1223325,1242968,948245,939065,1131637,0,792447,797620,0,0,817311,850162,0,0,787257,802227,0,0,688507,757916,878096,0,458662,468685,536524,0,416398,433461,489703,0,362040,400245,426576,0,395776,395088,383239,392108,353898,356065,380186,402393,383988,365502,350856,337449,337890,351369,374264,367938,351813,348235
Kapital wlasny (tys. zl),425091,429686,432516,445829,301261,303246,314717,416241,282953,286543,296401,301530,419118,422626,425144,284323,409431,424424,440989,443876,390445,400779,376416,0,363279,373238,0,0,336168,344329,0,0,347111,349326,0,0,230530,233861,338921,0,217748,218198,221410,0,212530,215110,215343,0,153215,213629,209363,0,148368,150260,151239,151857,138094,139790,144240,146504,146136,150801,128176,124697,141516,142310,138805,141987,155474,133692
Liczba akcji (tys. szt.),"84931,998","84931,998","84931,998","84931,998","69600,000","69600,000","69600,000","84931,998","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","69600,000","17400,000","17400,000","69600,000","69600,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000","17400,000"
Zysk na akcje (zl),"0,148","0,051","0,037","0,172","0,058","0,032","0,169","0,089","-0,031","0,048","0,143","0,076","-0,355","0,049","0,047","-2,010","0,011","0,192","0,260","0,044","0,202","0,142","0,189","0,449","0,241","0,144","0,184","0,154","-0,324","0,126","0,055","0,120","0,065","0,032","0,059","0,067","0,346","0,191","0,009","0,053","0,072","0,026","0,185","0,178","-0,032","0,148","0,013","0,066","0,078","-0,126","0,035","0,214","0,107","0,109","0,095","0,018","0,741","0,097","0,187","0,130","0,000","0,123","-1,133","0,209","0,000","0,000","0,000","0,000","0,030","0,000"
