index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),692630,493841,768582,691140,655259,602493,887009,949882,761252,634085,909775,894050,828716,685829,1000240,1010039,858354,717691,1031563,987706,837512,717141,1027369,1003074,840767,732188,997254,1064135,840838,676369,1106281,1106574,796672,736990,1106941,1125591,763133,688709,1020285,1008150,651255,565917,870319,967024,628158,548333,801276,862046,726518,525972,795062,1098049,608772,558922,927225,991358,597649,559201,880372,908193,0,491014,765139,776213,0,0,0,0,797663,0
Zysk (strata) z dzialal. oper. (tys. zl),-10373,43399,127490,118349,-36049,-1619,114216,181364,31459,-42446,97955,121911,58617,-11784,128566,125030,40172,6562,110523,195202,29481,5054,154206,175031,42186,40476,174760,216402,65904,31775,156355,201089,58133,72425,205025,234898,23468,73809,223464,206101,63878,40011,159165,228256,39856,52664,143915,1544099,-12130,59286,112614,160342,-94784,26497,131111,144078,-27567,19629,116218,115970,0,13933,21756,56581,0,0,0,0,31813,0
Zysk (strata) brutto (tys. zl),-17196,72163,120742,120175,-46213,-5184,108431,176080,25576,-53599,90298,115908,45888,-23309,115627,118278,27400,-5152,95481,181345,18909,-3905,142221,160596,20801,34114,164755,207080,43621,12703,150466,197138,45677,62233,196597,217470,16135,66664,213745,198991,56845,35093,152970,220009,28306,41366,136305,1556563,-19221,54767,106204,148944,-103410,20632,117091,139039,-56162,2655,99057,104286,0,-34316,-21762,4545,0,0,0,0,20300,0
Zysk (strata) netto (tys. zl),74634,59828,70163,82455,42702,-4114,91627,135984,104382,-42162,69944,88890,96709,-20181,94060,93099,80393,-4582,73029,145085,73390,-4861,114127,128762,81165,26312,132435,166721,32637,9456,120804,158133,31695,52263,156727,174128,9623,53553,174056,159336,44227,26614,116001,177360,24814,-32954,109246,146554,-2242,43905,90868,124323,-89406,10555,90025,107880,-53531,-635,81603,87030,0,-32068,-16508,-3177,0,0,0,0,18282,0
Amortyzacja (tys. zl),45348,38293,37554,38600,57653,68108,30951,45405,48120,53769,51273,50242,47843,48210,48758,48572,46742,47516,47795,48538,48499,48469,48336,46767,59408,52670,50909,49108,67770,66983,59999,61456,64571,62920,65105,65604,68130,67377,67273,66204,64627,63118,63786,64951,54831,59701,61346,62882,53020,48805,55513,54210,54415,54362,56494,58852,50033,49900,52493,59932,0,46025,52523,60178,0,0,0,0,3748,0
EBITDA (tys. zl),34975,81692,165044,156949,21604,66489,145167,226769,79579,11323,149228,172153,106460,36426,177324,173602,86914,54078,158318,243740,77980,53523,202542,221798,101594,93146,225669,265510,133674,98758,216354,262545,122704,135345,270130,300502,91598,141186,290737,272305,128505,103129,222951,293207,94687,112365,205261,1606981,40890,108091,168127,214552,-40369,80859,187605,202930,22466,69529,168711,175902,0,59958,74279,116759,0,0,0,0,35561,0
Aktywa (tys. zl),2062672,2036360,2306901,2103923,2269463,2245137,2409937,2303923,2815760,2307859,2383066,2152766,2389922,2322284,2427213,2257748,2272522,2312505,2500194,2318147,2309190,2188932,2370994,0,2710717,2374089,2478862,0,2583383,2563401,2721866,0,0,2564892,2879735,0,2331430,2388831,2577388,0,0,2377768,2632368,0,0,2345099,2571619,2441655,2032546,2293610,2534711,2247070,1893856,2016619,2169979,2056390,1957683,1954476,2098317,1991608,1889669,1899364,2124285,1998869,1755951,2011338,1934435,2214125,2119248,486793
Kapital wlasny (tys. zl),261940,321894,157664,127482,292492,288378,174578,187306,318002,275840,212257,301147,375325,355144,171878,213620,352681,348099,174616,319701,588913,584052,235969,0,703596,729934,554229,0,724505,733953,649098,0,0,840249,613289,0,902952,955197,798138,0,0,1233662,1034200,0,0,1249762,1015073,1156915,1105856,1201515,1061221,1134332,1121861,1138259,1001197,1111814,1051585,1030233,1120753,1210413,520898,488830,453793,450616,-944822,619343,699542,619294,1153418,313786
Liczba akcji (tys. szt.),"10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10271,337","10436,205","10436,205","10271,337","10271,337","10742,939","10742,939","10436,205","10436,205","11335,454","11335,454","10742,939","10742,939","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454","11335,454"
Zysk na akcje (zl),"7,266","5,825","6,831","8,028","4,157","-0,401","8,921","13,239","10,162","-4,105","6,810","8,654","9,415","-1,965","9,158","9,064","7,827","-0,446","7,110","14,125","7,145","-0,473","11,111","12,536","7,902","2,562","12,894","16,232","3,127","0,906","11,761","15,396","2,950","4,865","15,018","16,685","0,849","4,724","16,202","14,832","3,902","2,348","10,233","15,646","2,189","-2,907","9,638","12,929","-0,198","3,873","8,016","10,968","-7,887","0,931","7,942","9,517","-4,722","-0,056","7,199","7,678","0,000","-2,829","-1,456","-0,280","0,000","0,000","0,000","0,000","1,613","0,000"
