index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1999,I Q 2000,II Q 2000,III Q 2000, Q 0000,II Q 1998,IV Q 1998,II Q 1999
Przychody netto ze sprzedaÅ¼y (tys. zl),662447,725755,734247,706431,707267,871412,885650,734551,612794,644160,716804,751257,619010,685876,694136,735865,647255,694911,634595,647777,635516,719445,740699,698718,492559,565240,594554,622273,471586,414034,421481,456927,664823,721240,675971,585366,969617,991221,1022748,822233,697500,806607,979836,1089034,605533,596258,658538,660741,756891,716368,710231,655535,749391,749339,843409,861806,706453,683324,761919,764197,632718,820374,815522,816779,0,626159,823418,835526,609208,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),84310,34066,47870,62994,43164,26931,28113,32207,10668,13688,28475,43798,7036,21444,19390,27315,20103,24620,28217,19239,19425,37161,49632,35126,23030,23997,31891,30231,-16454,15235,12052,22967,40930,20528,15018,29318,83772,66215,71623,55261,13086,36364,77059,64500,-11848,14257,25054,18478,-10192,41550,40227,35338,10231,22978,40290,81608,-20578,-1178,21693,52065,19704,28619,31488,28310,0,28986,37315,42918,4325,0,0,0
Zysk (strata) brutto (tys. zl),81342,30279,44742,59180,41146,21993,29994,28867,9570,12465,27491,38461,7319,22844,24503,26631,16416,25513,29283,17376,18335,37584,46689,25929,16495,22804,26747,26357,-45764,3438,9893,21210,40944,7630,14032,23644,65627,23553,44036,45901,13052,36568,57218,58221,-24574,8069,24810,27458,-10637,32786,30497,22879,-9173,1695,18579,30907,-53630,-19258,8705,32033,7843,2417,-199,2685,0,15584,13249,14784,-8106,0,0,0
Zysk (strata) netto (tys. zl),76173,25438,36037,45084,47135,18292,25069,21201,20807,8333,24130,32254,8918,17727,25599,17987,18362,21202,12926,13422,17908,30444,34421,21354,13184,18303,18973,19325,-107509,-1913,3960,10399,25977,10279,9107,9055,60735,33515,44808,32347,11948,27420,37641,41638,-7259,-7337,17061,24317,-20635,22080,23847,15904,-2562,2492,12587,10326,-39483,-13780,7367,22631,5357,3451,390,2895,0,9255,8983,13244,-251,0,0,0
Amortyzacja (tys. zl),12874,12915,13217,13268,12898,13068,12904,12803,10074,12492,12684,12617,14550,14027,14020,14053,15134,14479,14427,14411,15047,14919,14923,15010,15178,15680,15421,15229,18995,15733,15926,16052,18999,19165,18970,19699,17412,18585,18890,19264,15780,15638,15955,16832,19048,15509,15476,14383,27598,14752,15981,19254,31517,29522,29576,29693,35341,30261,30167,28637,23614,29342,30197,32336,0,20562,21718,29752,9071,0,0,0
EBITDA (tys. zl),97184,46981,61087,76262,56062,39999,41017,45010,20742,26180,41159,56415,21586,35471,33410,41368,35237,39099,42644,33650,34472,52080,64555,50136,38208,39677,47312,45460,2541,30968,27978,39019,59929,39693,33988,49017,101184,84800,90513,74525,28866,52002,93014,81332,7200,29766,40530,32861,17406,56302,56208,54592,41748,52500,69866,111301,14763,29083,51860,80702,43318,57961,61685,60646,0,49548,59033,72670,13396,0,0,0
Aktywa (tys. zl),2272681,2376758,2423689,2507534,1999102,2101829,2289821,2178647,1834028,1851798,1916160,2037967,1690164,1758083,1826353,1853522,1671847,1709886,1710879,1729314,1642167,1755753,1716199,1721710,1670305,1690505,1731250,1670006,1857190,1804372,1727884,1713405,2209107,2280129,2223017,2090297,2171314,2270922,2356423,2304907,1815302,1907875,2113401,2174618,1534016,1645155,1660134,1648215,1144999,1514039,1620821,1283666,1782544,1823329,1734276,1762263,1802409,1811458,1831066,1791102,1905622,1985823,2065375,1978523,1609529,1684076,1733009,1924283,1249114,1545293,1501070,1675101
Kapital wlasny (tys. zl),1185635,1225502,1253558,1322807,1075258,1104059,1116996,1112759,958489,964407,995667,1041427,888497,904365,917721,951067,843404,866092,865285,879792,839665,902505,860381,877103,841129,855590,862662,863131,800194,798475,817913,837264,941442,934200,912068,921443,807832,842172,860951,901463,657708,688044,729206,759896,610898,619125,631866,648550,408010,564636,581746,454113,395017,404233,418062,429895,413307,385330,388491,412730,502425,455728,505559,460235,477448,485449,487265,499613,450086,443999,451377,453231
Liczba akcji (tys. szt.),"200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","213511,875","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","265764,275","10630,571","265764,275","265764,275","265764,275"
Zysk na akcje (zl),"0,381","0,127","0,180","0,225","0,236","0,091","0,125","0,106","0,104","0,042","0,121","0,161","0,045","0,089","0,128","0,090","0,092","0,106","0,065","0,067","0,090","0,152","0,172","0,107","0,062","0,086","0,089","0,091","-0,504","-0,009","0,019","0,049","0,122","0,048","0,043","0,042","0,284","0,157","0,210","0,151","0,056","0,128","0,176","0,195","-0,027","-0,028","0,064","0,091","-0,078","0,083","0,090","0,060","-0,010","0,009","0,047","0,039","-0,149","-0,052","0,028","0,085","0,020","0,013","0,001","0,011","0,000","0,035","0,034","0,050","-0,024","0,000","0,000","0,000"
