index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),509061,530579,573648,646925,494680,471502,503297,547030,440969,417684,446761,507883,386642,356268,380528,450846,391243,356204,388377,444161,344969,341320,378805,412272,281198,241431,296611,349704,272883,225861,282670,305701,297917,284148,304126,294936,295661,313851,328203,332752,191494,250663,257693,291049,167327,166151,170967,197822,168250,199293,212234,192645,170050,147294,165826,183515,144462,142234,137557,173552,0,148602,135958,153893,0,0,0,0,175462,0
Zysk (strata) z dzialal. oper. (tys. zl),47951,64734,75515,91092,33478,52320,62158,80497,29254,48394,61133,81621,19100,25598,33106,56955,30715,27630,41492,53853,22151,26195,41603,52721,20523,18198,30163,47449,23932,30062,35546,38730,44013,33384,32669,36689,21024,27125,28801,41129,16989,11400,41841,35382,20636,19552,28535,29099,14061,27499,36831,33311,17380,16777,20912,25846,693,14146,17639,31532,0,17948,17251,21940,0,0,0,0,20466,0
Zysk (strata) brutto (tys. zl),45501,58756,75680,87501,25956,39027,67916,77038,26345,40280,58935,76688,16537,21759,30340,55630,25119,30421,35940,53918,20940,23215,38113,42869,19164,20287,24076,46976,-6480,4389,26539,41780,32749,21835,26892,28907,18546,28153,25596,35313,16982,10231,40478,30334,16935,20625,32484,32937,13505,28391,34666,31905,11699,16476,18966,26670,1417,12064,12265,24658,0,18672,16200,20014,0,0,0,0,16349,0
Zysk (strata) netto (tys. zl),51703,54080,89359,86516,23415,35114,57575,65421,49601,30765,52641,62210,17267,16996,42887,43999,19713,23924,31846,44012,18184,18845,30874,34042,14772,15011,19301,37206,421,2778,20630,32413,27493,17214,20964,22593,19084,21613,20595,28276,15019,9200,34313,25205,15682,17377,27843,27777,11993,24060,28836,25578,5862,15137,17925,24260,1483,10590,10703,19981,0,13375,13935,14730,0,0,0,0,14919,0
Amortyzacja (tys. zl),24406,25385,25731,27106,23656,21427,22002,23876,21013,19456,20201,21383,20867,19494,19911,20539,19409,19609,21182,20492,16158,16621,17039,17429,16312,16888,17190,17084,15875,15973,16003,15839,13905,14711,15463,15648,11636,11976,12842,13515,9855,10930,10756,11136,8944,8514,9142,9409,10071,8426,8799,8471,8854,8740,8728,8647,8150,8800,8572,8489,0,5588,5990,7355,0,0,0,0,141,0
EBITDA (tys. zl),72357,90119,101246,118198,57134,73747,84160,104373,50267,67850,81334,103004,39967,45092,53017,77494,50124,47239,62674,74345,38309,42816,58642,70150,36835,35086,47353,64533,39807,46035,51549,54569,57918,48095,48132,52337,32660,39101,41643,54644,26844,22330,52597,46518,29580,28066,37677,38508,24132,35925,45630,41782,26234,25517,29640,34493,8843,22946,26211,40021,0,23536,23241,29295,0,0,0,0,20607,0
Aktywa (tys. zl),1958692,2022862,2254369,2359593,1797508,1843125,1943247,1973377,1716099,1723477,1758425,1788642,1642674,1610918,1644324,1696177,1544025,1567508,1602586,1656508,1410001,1475513,0,1570888,1303346,1278435,0,1385750,1314825,1310634,1342362,1309540,1313678,1315569,1346512,1342052,1149581,1187044,1256354,1332320,878033,969253,1044556,1084089,752766,758115,0,832207,582338,744278,754925,738040,578842,558088,566859,581148,601390,581950,581160,580497,621511,629449,611253,625188,350045,385939,489249,535670,648639,319488
Kapital wlasny (tys. zl),1278843,1338147,1264787,1352167,1203232,1237490,1163935,1227179,1125378,1153378,1119730,1183699,1022635,1037773,1025643,1072398,949513,974969,960191,1009009,867141,884669,0,915218,812196,819223,0,836226,714608,723893,754194,783972,708202,728259,711167,735566,663176,685041,665386,685041,613209,621622,615233,644751,561682,578876,0,598308,369583,501888,504717,528718,305567,326648,333557,357797,338251,350707,349043,299762,314435,314255,326885,355208,261831,282191,300181,311658,431576,239929
Liczba akcji (tys. szt.),"9441,988","9441,988","9453,693","9453,693","9380,788","9393,538","9441,988","9441,988","9295,413","9326,913","9337,588","9337,588","9225,663","9225,663","9225,663","9287,613","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","9225,663","10500,780","8925,663","9225,663","9225,663","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780","10500,780"
Zysk na akcje (zl),"5,476","5,728","9,452","9,152","2,496","3,738","6,098","6,929","5,336","3,299","5,638","6,662","1,872","1,842","4,649","4,737","2,137","2,593","3,452","4,771","1,971","2,043","3,347","3,690","1,601","1,627","2,092","4,033","0,046","0,301","2,236","3,513","2,980","1,866","2,272","2,449","2,069","2,343","2,232","3,065","1,628","0,997","3,719","2,732","1,493","1,947","3,018","3,011","1,142","2,291","2,746","2,436","0,558","1,442","1,707","2,310","0,141","1,008","1,019","1,903","0,000","1,274","1,327","1,403","0,000","0,000","0,000","0,000","1,421","0,000"
Wartosc ksiegowa na akcje (zl),"135,442","141,723","133,788","143,031","128,266","131,738","123,272","129,970","121,068","123,661","119,916","126,767","110,847","112,488","111,173","115,465","102,921","105,680","104,078","109,370","93,992","95,892","0,000","99,203","88,037","88,798","0,000","90,641","77,459","78,465","81,750","84,977","76,764","78,938","77,086","79,730","71,884","74,254","72,123","74,254","66,468","67,380","66,687","69,887","53,490","64,855","0,000","64,853","35,196","47,795","48,065","50,350","29,099","31,107","31,765","34,073","32,212","33,398","33,240","28,547","29,944","29,927","31,130","33,827","24,934","26,873","28,587","29,680","41,099","22,849"
