index,I Q 2015,II Q 2015,III Q 2015,IV Q 2015,I Q 2014,II Q 2014,III Q 2014,IV Q 2014,I Q 2013,II Q 2013,III Q 2013,IV Q 2013,I Q 2012,II Q 2012,III Q 2012,IV Q 2012,I Q 2011,II Q 2011,III Q 2011,IV Q 2011,I Q 2010,II Q 2010,III Q 2010,IV Q 2010,I Q 2009,II Q 2009,III Q 2009,IV Q 2009,IV Q 2007,II Q 2008,III Q 2008,IV Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,III Q 2005,IV Q 2005,I Q 2006,III Q 2006,I Q 2004,III Q 2004,IV Q 2004,I Q 2005,IV Q 2002,III Q 2003,IV Q 2003
Przychody netto ze sprzedaÅ¼y (tys. euro),0,951,1433,2370,0,0,0,91,0,363,0,671,342,348,423,140,1124,5649,296,771,2736,815,4817,2118,225,220,136,2413,2776,1951,280,972,3527,6397,3054,1179,20,2216,1407,2540,427,0,68,217,0,0,60
Zysk (strata) z dzialal. oper. (tys. euro),-78,-298,-621,-830,-113,-127,-131,-49,113,-628,1293,361,-78,-2300,-163,658,528,70,-624,-44,468,648,812,-342,-1285,-1162,-3339,-4737,-870,1106,-210,-2303,262,549,3146,115,-277,2092,-282,-300,15,0,-802,221,0,0,-1038
Zysk (strata) brutto (tys. euro),-79,-320,-673,-881,-111,-84,-130,77,117,-587,1335,455,-18,-2202,-155,672,588,129,-542,25,520,703,996,41,-1227,-1105,-3264,-4506,-517,1148,-139,-1920,219,494,3365,284,-378,2007,-457,-341,-188,0,-1638,-335,0,0,-2777
Zysk (strata) netto (tys. euro),1054,-349,-923,-2589,-835,706,210,-370,117,-587,1335,455,-18,-2202,-155,672,588,129,-542,151,520,715,1023,-13,-1227,-1105,-3264,-4506,-516,1148,-139,-1920,220,494,3365,284,-378,2007,-457,-341,-188,0,-1634,-335,0,0,-2277
Amortyzacja (tys. euro),1,13,23,66,1,0,1,1,1,0,1,0,1,0,1,0,3,2,1,0,3,2,3,3,5,5,3,4,10,0,6,6,12,62,-49,9,0,1579,42,12,22,0,1549,15,0,0,3334
EBITDA (tys. euro),-77,-285,-598,-764,-112,-127,-130,-48,114,-628,1294,361,-77,-2300,-162,658,531,72,-623,-44,471,650,815,-339,-1280,-1157,-3336,-4733,-860,1106,-204,-2297,274,611,3097,124,-277,3671,-240,-288,37,0,747,236,0,0,2296
Aktywa (tys. euro),22053,24599,23812,26001,20034,20716,21168,21065,18276,16664,18011,19077,20423,17882,17653,18302,18519,20690,20218,20768,17446,17254,17837,18032,26521,24604,21195,16890,29476,31494,29503,27816,31462,31750,29873,30001,0,33259,0,32787,26538,23583,31624,32093,35161,28129,25357
Kapital wlasny (tys. euro),20910,20561,19639,16860,19314,20016,20225,19856,17125,16538,17873,18329,18631,16486,16331,17008,16818,19030,18426,18422,14527,15242,16265,16253,22881,21777,18514,14006,25628,27917,26028,24108,22002,22495,25860,26144,0,18829,0,21783,6095,7672,15618,16535,2083,6575,6017
Liczba akcji (tys. szt.),"20701,174","20701,174","20701,174","20701,174","20701,174","20701,174","20701,174","20701,174","18819,250","18819,250","18819,250","18819,250","18819,250","18819,250","18819,250","18819,250","17500,000","18819,250","18819,250","18819,250","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","17500,000","12500,000","12500,000","17500,000","17500,000","12500,000","12500,000","12500,000"
Zysk na akcje (euro),"0,051","-0,017","-0,045","-0,125","-0,040","0,034","0,010","-0,018","0,006","-0,031","0,071","0,024","-0,001","-0,117","-0,008","0,036","0,034","0,007","-0,029","0,008","0,030","0,041","0,058","-0,001","-0,070","-0,063","-0,187","-0,257","-0,029","0,066","-0,008","-0,110","0,013","0,028","0,192","0,016","-0,022","0,115","-0,026","-0,019","-0,015","0,000","-0,093","-0,019","0,000","0,000","-0,182"
Wartosc ksiegowa na akcje (euro),"1,010","0,993","0,949","0,814","0,933","0,967","0,977","0,959","0,910","0,879","0,950","0,974","0,990","0,876","0,868","0,904","0,961","1,011","0,979","0,979","0,830","0,871","0,929","0,929","1,307","1,244","1,058","0,800","1,464","1,595","1,487","1,378","1,257","1,285","1,478","1,494","0,000","1,076","0,000","1,245","0,488","0,614","0,892","0,945","0,167","0,526","0,481"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
