index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002, Q 0000,I Q 2001,II Q 2001,III Q 2001
Przychody netto ze sprzedaÅ¼y (tys. zl),42801,25407,34316,30412,37707,30510,29738,33899,25500,20798,24771,21589,20982,18028,17294,21291,22697,18970,18627,17921,16938,21049,18161,27977,16947,10266,12723,16532,25099,20078,22294,20791,38416,22027,29435,36639,26913,22098,25751,29117,21214,20019,21957,19514,21246,16899,16236,16622,19719,13115,-18981,18856,13987,11472,11500,16773,13602,9698,11730,14829,21435,10264,10986,11522
Zysk (strata) z dzialal. oper. (tys. zl),1055,1530,2097,2503,2941,3409,-257,2043,1307,662,1379,1608,479,596,218,2050,507,497,984,-151,-904,1000,-116,1262,-104,-1574,-1822,-46,-937,-594,1418,1115,1936,637,1523,2782,1056,418,922,1800,1053,1256,1557,1061,680,280,1222,631,1159,540,-5293,1213,130,777,147,949,39,29,-238,1552,770,164,704,423
Zysk (strata) brutto (tys. zl),853,1488,1682,2778,2706,3504,-414,2028,1348,713,1198,1487,394,151,-128,2257,-335,146,745,-241,-929,997,-364,1254,-229,-1794,-2086,-133,-1445,-743,1324,1040,2088,560,1514,2615,1032,444,748,1732,1030,1220,1694,1143,962,275,1052,748,608,861,-4878,1381,-285,760,-565,1113,-754,-137,-518,785,1145,85,425,-17
Zysk (strata) netto (tys. zl),767,1200,1340,2221,2264,2751,-382,1632,1027,521,1009,1302,368,183,-154,1779,-435,92,592,-191,-507,935,-609,967,-282,-1860,-2163,-189,-1154,-877,1178,843,1666,383,1139,1991,645,153,416,1391,863,985,1459,1045,675,220,812,618,513,495,622,1123,-304,568,-566,867,-971,-133,-687,412,757,-236,-310,-189
Amortyzacja (tys. zl),2753,2823,2824,2739,2244,2327,2458,2540,2075,2073,2108,2128,2015,2065,2126,2129,1773,1939,1933,2092,1200,1325,1623,1848,1214,1181,1196,1224,1112,1234,1208,1167,850,910,932,1002,861,900,886,879,692,814,779,762,689,672,756,715,296,562,607,655,241,299,305,271,339,191,344,319,3748,250,491,118
EBITDA (tys. zl),3808,4353,4921,5242,5185,5736,2201,4583,3382,2735,3487,3736,2494,2661,2344,4179,2280,2436,2917,1941,296,2325,1507,3110,1110,-393,-626,1178,175,640,2626,2282,2786,1547,2455,3784,1917,1318,1808,2679,1745,2070,2336,1823,1369,952,1978,1346,1455,1102,-4686,1868,371,1076,452,1220,378,220,106,1871,4518,414,1195,541
Aktywa (tys. zl),96512,99953,96059,101880,89106,84970,88185,97445,76319,74329,73319,82506,71561,70827,66664,70800,74729,70973,73492,72289,59186,70871,68232,0,61179,59710,60472,0,65098,61731,61143,0,57491,58038,63719,0,51372,49740,56487,0,39461,44365,47856,0,42709,39471,40460,0,38438,38321,43254,0,31085,32622,33558,32918,30289,31610,33357,34245,42432,32701,32885,31387
Kapital wlasny (tys. zl),45889,47113,45707,47952,40867,43494,39464,41113,37493,38031,37670,38988,34569,34766,34631,36413,33566,33672,35978,32990,35642,36618,36083,0,40983,39110,36375,0,29277,29420,30452,0,28988,29270,29403,0,26098,26230,25786,0,22617,23352,24409,0,21764,22009,21003,0,15686,19181,19966,0,14127,14581,14333,15199,14620,14492,13520,13932,22027,20172,18442,14528
Liczba akcji (tys. szt.),"9250,719","9234,719","9234,719","9234,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9250,719","9334,858","9250,719","9250,719","9250,719","9334,858","9334,858","9334,858","9334,858","9334,858","9334,858","9334,858","9334,858","9334,858","9334,858","9334,858","9334,858","9334,858","9334,858","9334,858","9334,858"
Zysk na akcje (zl),"0,083","0,130","0,145","0,241","0,245","0,297","-0,041","0,176","0,111","0,056","0,109","0,141","0,040","0,020","-0,017","0,192","-0,047","0,010","0,064","-0,021","-0,055","0,101","-0,066","0,105","-0,030","-0,201","-0,234","-0,020","-0,125","-0,095","0,127","0,091","0,180","0,041","0,123","0,215","0,070","0,017","0,045","0,150","0,093","0,106","0,158","0,113","0,072","0,024","0,088","0,067","0,055","0,053","0,067","0,120","-0,033","0,061","-0,061","0,093","-0,104","-0,014","-0,074","0,044","0,081","-0,025","-0,033","-0,020"
