index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),254772,255313,259776,233281,168068,233872,258242,182823,181656,136056,179804,93737,160179,119785,153161,132898,153283,109703,113086,111106,128541,89601,90219,94747,0
Zysk (strata) z dzialal. oper. (tys. zl),-102097,4396,22108,6062,-10508,-2007,7787,-1877,9024,820,5116,422,-7587,-427,11879,-349,-9035,4632,5959,7016,8889,6677,366,619,0
Zysk (strata) brutto (tys. zl),-106514,7,16874,414,-14123,-5528,2821,-6197,7045,-2278,1482,-2480,-10973,-3552,8745,-3504,-12898,1276,2903,3745,6366,880,-1251,-2420,0
Zysk (strata) netto (tys. zl),-69144,-559,15756,-44,-13603,-4699,1745,-5247,2411,-1730,1770,-1839,-11132,-4477,7362,-3018,1897,291,-388,2017,5832,1018,-1435,-1757,0
Amortyzacja (tys. zl),1741,1698,1697,1631,1810,1794,1830,1978,1484,1642,1725,1745,2326,1804,1685,1716,1928,1857,1811,1884,2602,1971,1993,1957,0
EBITDA (tys. zl),-100356,6094,23805,7693,-8698,-213,9617,101,10508,2462,6841,2167,-5261,1377,13564,1367,-7107,6489,7770,8900,11491,8648,2359,2576,0
Aktywa (tys. zl),979424,989584,1030083,1058836,783271,842594,927682,959949,686967,694471,678817,736459,675398,666721,680562,655875,636799,634049,628471,638915,603910,0,636799,0,668124
Kapital wlasny (tys. zl),91672,90954,97153,101350,171355,183724,183362,180113,186441,185603,193013,190429,181629,177894,187864,185948,197270,195102,193204,195074,155034,0,197270,0,174105
Liczba akcji (tys. szt.),"127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","127345,000","108643,712","108643,712","50002,586","108643,712","108643,712"
Zysk na akcje (zl),"-0,543","-0,004","0,124","0,000","-0,107","-0,037","0,014","-0,041","0,019","-0,014","0,014","-0,014","-0,087","-0,035","0,058","-0,024","0,015","0,002","-0,003","0,016","0,054","0,009","-0,029","-0,016","0,000"
Wartosc ksiegowa na akcje (zl),"0,720","0,714","0,763","0,796","1,346","1,443","1,440","1,414","1,464","1,457","1,516","1,495","1,426","1,397","1,475","1,460","1,549","1,532","1,517","1,532","1,427","0,000","3,945","0,000","1,603"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
