index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),64785,69391,35850,51371,45265,66340,30334,89133,106287,37048,25126,75749,89423,34835,29106,26478,132800,83581,67135,48989,42648,21456,53698,81155,51054,42542,53806,41268,72815,22505,81046,66677,50513,74228,91028,61013,10973,24556,17682,38759,107818,16671,10963,20844,108617,65985,95683,95947,84380,66824,56486,86641,93842,50835,75421,98193,43413,27136,28793,75279,0,69079,106725,78162,0,0,0,0,108058,0
Zysk (strata) z dzialal. oper. (tys. zl),-126065,2206,2249,253,928,7405,-7305,1951,-47011,1562,8958,9959,26760,11018,2606,10771,-1908,16177,51756,61701,22220,18425,56597,3256,55212,17808,11787,-3685,16836,16648,8433,24614,-2195,29710,24606,24686,-18592,7223,15595,10767,-90303,6446,5865,8215,3288,2878,712,2076,-8273,1862,-925,1917,311,513,2257,1989,-324,389,-1800,1046,0,2543,6410,3359,0,0,0,0,796,0
Zysk (strata) brutto (tys. zl),-140150,607,3167,2003,7405,2342,-5431,-118,-54880,-5471,4079,2892,-5942,3757,-24395,271,-11180,4022,17610,17509,12646,20703,50948,4860,43698,19703,16586,24195,7726,15630,4933,21704,-1555,28962,25478,27623,-26914,5897,16274,10095,-94996,6320,5856,7738,3300,2112,-106,1281,-7724,1022,-1525,885,634,168,1024,988,2384,574,-3839,375,0,2946,5320,2204,0,0,0,0,829,0
Zysk (strata) netto (tys. zl),-139674,183,2886,2533,11802,-178,-27,-781,-20435,424,2779,3103,3700,1455,-23408,1270,10792,1877,9498,10665,6411,15729,39965,4373,31402,15269,10373,19509,5540,11924,3185,17123,4593,21623,20822,20760,-15439,79647,4502,10031,-90379,-2721,-16885,-2679,1972,1827,12,792,-8895,859,-1168,571,-227,12,460,1237,1850,488,-2725,242,0,2281,4317,873,0,0,0,0,314,0
Amortyzacja (tys. zl),146,216,336,281,172,180,173,162,209,195,423,-75,373,254,216,222,502,425,392,395,656,603,545,479,427,511,522,586,535,518,556,537,317,441,524,487,1155,602,197,514,377,510,367,433,-218,574,584,812,338,765,628,585,287,451,478,472,480,496,430,590,0,547,503,535,0,0,0,0,1,0
EBITDA (tys. zl),-125919,2422,2585,534,1100,7585,-7132,2113,-46802,1757,9381,9884,27133,11272,2822,10993,-1406,16602,52148,62096,22876,19028,57142,3735,55639,18319,12309,-3099,17371,17166,8989,25151,-1878,30151,25130,25173,-17437,7825,15792,11281,-89926,6956,6232,8648,3070,3452,1296,2888,-7935,2627,-297,2502,598,964,2735,2461,156,885,-1370,1636,0,3090,6913,3894,0,0,0,0,797,0
Aktywa (tys. zl),1398706,1386814,1399668,1436047,1568701,1756984,1727069,1762118,1746561,2102850,1827793,1786947,2257516,2263235,2280126,2306036,2221231,2233193,2262548,2325060,2140775,2234935,2358792,2275575,2022481,2039812,2164776,2075374,1804394,1910315,1933707,1972926,1252873,1432696,1546279,1749478,540671,448258,436644,1145965,221316,219240,219694,242377,235386,217731,254516,252674,271299,233152,226997,277691,178837,157276,189743,176427,124810,115372,131324,171653,146367,142191,162467,136928,58733,76208,89130,133872,222415,54008
Kapital wlasny (tys. zl),722818,728052,729124,728583,862979,1069512,1070205,1072165,1052276,1371159,1085579,1087418,1327558,1329869,1329442,1329835,1282573,1284505,1293416,1303664,1159507,1175703,1273706,1270950,1126670,1141862,1152854,1152976,934046,947115,992800,1076831,807556,892999,938242,995779,86156,177425,168249,790737,-47233,-34995,-13576,-13991,36380,36427,35956,40685,26986,39615,32147,33739,41147,41610,42119,43410,43594,43983,40876,41290,35545,37750,39232,41389,29411,30647,29409,29737,27577,15731
Liczba akcji (tys. szt.),"32633,027","32633,027","33029,927","33029,927","32633,027","32633,027","32633,027","32633,027","32633,027","32633,027","32633,027","32633,027","25633,027","25633,027","25633,027","25633,027","23802,839","23802,839","23802,839","23802,839","22218,386","22246,431","22393,668","23802,839","22178,423","22178,423","22197,352","22218,386","18114,897","18114,897","19614,897","22132,847","17478,376","17813,382","17934,479","18114,897","12635,322","12635,322","12635,322","17478,376","3660,000","3660,000","8660,000","8660,000","3660,000","3660,000","3660,000","3660,000","3660,000","3660,000","3660,000","3660,000","1720,000","1720,000","1720,000","1720,000","1720,000","1720,000","1720,000","1720,000","1720,000","1720,000","1720,000","1720,000","1720,000","1720,000","1720,000","1720,000","3660,000","1720,000"
Zysk na akcje (zl),"-4,280","0,006","0,087","0,077","0,362","-0,005","-0,001","-0,024","-0,626","0,013","0,085","0,095","0,144","0,057","-0,913","0,050","0,453","0,079","0,399","0,448","0,289","0,707","1,785","0,184","1,416","0,688","0,467","0,878","0,306","0,658","0,162","0,774","0,263","1,214","1,161","1,146","-1,222","6,304","0,356","0,574","-24,694","-0,743","-1,950","-0,309","0,539","0,499","0,003","0,216","-2,430","0,235","-0,319","0,156","-0,132","0,007","0,267","0,719","1,076","0,284","-1,584","0,141","0,000","1,326","2,510","0,508","0,000","0,000","0,000","0,000","0,086","0,000"
