index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,III Q 2003,IV Q 2005,I Q 2006,II Q 2006,IV Q 2002,I Q 2003,II Q 2003,II Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),14770,14707,12053,10698,14562,12472,13284,11274,17149,16594,13961,13275,21142,18006,15939,13940,21105,15029,18311,14057,21194,17249,17364,16966,38152,15168,26882,19621,24562,16419,17686,9017,16108,13361,15928,15531,8820,6276,11145,12229,410,0,31518,0,9572,5521,5521,2441,12104,10474,9568,10259,0,16365,17473,17092,0,0,0,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),3102,1940,1548,1295,1411,-469,3096,38,3757,3333,3311,947,-798,1466,1554,1350,674,-634,-3919,447,-1693,2612,1869,-1889,-9872,-2157,-1439,1613,2801,11726,1029,-4357,-392,2708,2088,563,-12159,327,-451,4950,1865,0,3684,0,-1014,-263,-263,-226,-2115,-8,-375,-95,0,-365,-602,-481,0,0,0,0,0,0
Zysk (strata) brutto (tys. zl),3475,2052,1478,1686,-2802,75,2731,402,-1488,3316,3514,867,-758,1201,1516,1188,156,-851,-9651,118,-3546,2453,1398,623,-12009,-3079,4054,1558,2899,11654,1156,-3135,-720,2690,1894,863,-10748,308,-479,5904,1153,0,5098,0,652,-359,-359,-875,-23975,-65,-10649,-181,0,-459,-87,-565,0,0,0,0,0,0
Zysk (strata) netto (tys. zl),3165,1187,1188,1420,-1880,25,2175,171,1514,2451,3063,337,415,822,2572,976,1225,-654,-10504,259,-3206,1459,-421,698,-11691,-3738,4459,835,1967,11568,1144,-3754,-251,2425,1742,1171,-11318,255,-184,5534,1153,0,4272,0,111,-428,-428,-996,-24144,-330,-8112,-283,0,-566,-199,-643,0,0,0,0,0,0
Amortyzacja (tys. zl),206,154,152,156,233,135,135,159,196,212,171,95,206,386,334,258,334,307,284,175,189,278,443,305,255,427,395,710,501,562,432,458,524,258,299,379,179,103,282,198,84,0,74,0,344,337,337,233,408,367,367,372,0,614,592,558,0,0,0,0,0,0
EBITDA (tys. zl),3308,2094,1700,1451,1644,-334,3231,197,3953,3545,3482,1042,-592,1852,1888,1608,1008,-327,-3635,622,-1504,2890,2312,-1584,-9617,-1730,-1044,2323,3302,12288,1461,-3899,132,2966,2387,942,-11980,430,-169,5148,1949,0,3758,0,-670,74,74,7,-1707,359,-8,277,0,249,-10,77,0,0,0,0,0,0
Aktywa (tys. zl),46501,51404,52246,52550,43915,43164,45625,47334,40982,44426,47489,46115,37202,39213,42338,40131,59297,58534,44304,42018,61139,72727,60264,0,93649,67510,81450,0,61564,77362,78883,0,23514,26342,50023,0,12356,16035,20807,0,7864,6626,0,12873,19546,15368,15368,15368,43728,45813,30006,29907,79195,81343,75293,72208,102476,103367,89621,93452,0,101575
Kapital wlasny (tys. zl),26185,27372,28560,29982,20649,20674,22849,23020,16575,19026,22089,22567,10422,11117,14085,15059,22024,21370,9878,10008,19600,21059,20254,0,38357,20206,26505,0,42982,54550,55510,0,8584,11009,12430,0,3230,3485,3301,0,398,2383,0,5605,681,232,232,232,23602,26319,11496,11108,50136,52034,49372,47747,35324,32720,50605,50291,0,45177
Liczba akcji (tys. szt.),"10389,732","10389,732","10389,732","10389,732","10389,732","10389,732","10389,732","10389,732","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","10389,733","9165,000","9165,000","9165,000","10389,733","9165,000","9165,000","9165,000","9165,000","660,000","660,000","6519,700","660,000","660,000","660,000","1303,940","660,000","660,000","660,000","660,000","660,000","660,000","660,000","660,000","660,000","660,000","660,000","660,000","660,000",,"660,000"
Zysk na akcje (zl),"0,305","0,114","0,114","0,137","-0,181","0,002","0,209","0,016","0,146","0,236","0,295","0,032","0,040","0,079","0,248","0,094","0,118","-0,063","-1,011","0,025","-0,309","0,140","-0,041","0,067","-1,125","-0,360","0,429","0,080","0,189","1,113","0,110","-0,361","-0,027","0,265","0,190","0,113","-1,235","0,028","-0,020","0,604","1,747","0,000","0,655","0,000","0,168","-0,648","-0,328","-1,509","-36,582","-0,500","-12,291","-0,429","0,000","-0,858","-0,302","-0,974","0,000","0,000","0,000","0,000",,"0,000"
