index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001, Q 0000,II Q 1999,IV Q 1999,II Q 2000
Przychody netto ze sprzedaÅ¼y (tys. zl),782976,679686,811257,791622,751215,751139,793431,800749,700228,672634,693359,741329,402162,722101,659903,724291,520334,469524,477351,459680,443949,482219,482124,518220,412800,362441,473551,452331,405321,407993,406965,430090,385000,414092,482551,478540,361559,409844,424958,410562,284686,278444,301725,370056,195159,202265,192364,237435,171314,220672,224963,216105,144289,143385,169991,162798,137763,119438,126654,152264,0,152051,142856,151728,195159,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),59675,80245,136534,91830,29204,74505,72970,85068,2322,18653,40415,55079,-12641,27072,15795,6709,36186,39759,38838,9233,13804,38300,30495,40893,66673,54064,84955,24944,85920,95103,93694,92489,85206,118338,127387,93520,90983,112599,124262,104658,41035,61490,80937,104522,5767,15354,15481,25881,6882,21412,37248,15973,2859,2468,7945,6446,2140,149,4049,7937,0,3869,1182,4175,5767,0,0,0
Zysk (strata) brutto (tys. zl),62401,88151,145935,92151,32433,63842,75112,87013,9116,17389,38260,47229,-10612,26174,18676,14032,38692,40106,38280,9622,14293,39568,28837,44708,65834,55228,91373,21328,88398,104004,91319,91592,88649,117580,132454,92009,89995,112789,125284,106887,41329,62485,77985,107035,6420,16408,13594,27783,4127,19877,40627,19621,-69,2018,4296,6424,-209,-2634,2088,6056,0,706,-3439,2208,6420,0,0,0
Zysk (strata) netto (tys. zl),51776,65689,114487,70175,26326,42042,60247,65978,2859,9074,29649,26016,-8239,18334,16614,10668,31747,32675,30811,8183,11967,32221,23429,36014,54173,45748,71819,17925,72677,83942,74150,74494,70777,95118,106657,74529,73564,91284,100435,87614,35250,50600,63425,86201,4956,13225,10033,22410,3533,15874,32157,16066,78,1054,3192,4516,-355,-2646,2045,4612,0,10,-2435,1665,4956,0,0,0
Amortyzacja (tys. zl),35856,33980,37469,34351,34055,35660,35815,35908,32745,33498,34076,33934,13741,30731,31042,34377,12983,13305,13327,13616,10838,12065,12566,13204,9211,9709,10308,10246,6551,7235,7500,7929,6621,5230,5289,5839,5372,6011,6040,5891,5146,5216,5114,5320,5346,5770,4137,4972,4800,5870,5698,5794,5615,5637,5458,5435,5186,5128,5153,5411,0,6652,6658,6068,2013,0,0,0
EBITDA (tys. zl),95531,114225,174003,126181,63259,110165,108785,120976,35067,52151,74491,89013,1100,57803,46837,41086,49169,53064,52165,22849,24642,50365,43061,54097,75884,63773,95263,35190,92471,102338,101194,100418,91827,123568,132676,99359,96355,118610,130302,110549,46181,66706,86051,109842,11113,21124,19618,30853,11682,27282,42946,21767,8474,8105,13403,11881,7326,5277,9202,13348,0,10521,7840,10243,7780,0,0,0
Aktywa (tys. zl),3305746,3395192,3368910,3440726,3144555,3189134,3258268,3301692,2992412,3008346,2987377,3038276,2076316,3027123,2924677,2959238,1835078,1879614,1928113,1883351,1732371,1858791,1806546,0,1564675,1669009,1793081,0,1350528,1501045,1533202,0,1116434,1208840,1415677,0,861420,912564,1055477,0,512218,596334,675577,0,445782,480900,492858,453702,305948,359890,446518,429549,328618,336317,346311,333744,323330,301969,303807,317546,312815,334927,336532,323887,382024,265751,280340,327075
Kapital wlasny (tys. zl),1964302,1920380,1840033,1863590,1739906,1763849,1876264,2027682,1627830,1634850,1651309,1650579,1565113,1917003,1918400,1927472,1502783,1535533,1564361,1572544,1409495,1439917,1436775,0,1318992,1363342,1379561,0,1090301,1174420,1190422,0,827902,922567,951299,0,571191,636813,665850,0,332359,382811,411559,0,267476,280701,269262,295872,123278,167379,242507,258475,104261,115549,115061,119577,124020,106682,109591,104183,128483,129849,122591,124374,199991,118164,122428,128433
Liczba akcji (tys. szt.),"6725,000","6725,000","6725,000","5580,267","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000","6725,000"
Zysk na akcje (zl),"7,699","9,768","17,024","12,576","3,915","6,252","8,959","9,811","0,425","1,349","4,409","3,869","-1,225","2,726","2,470","1,586","4,721","4,859","4,582","1,217","1,779","4,791","3,484","5,355","8,055","6,803","10,679","2,665","10,807","12,482","11,026","11,077","10,524","14,144","15,860","11,082","10,939","13,574","14,935","13,028","5,242","7,524","9,431","12,818","0,737","1,967","1,492","3,332","0,525","2,360","4,782","2,389","0,012","0,157","0,475","0,672","-0,053","-0,393","0,304","0,686","0,000","0,001","-0,362","0,248","0,737","0,000","0,000","0,000"
