index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,II Q 2000,III Q 2000,III Q 2000,IV Q 2000,IV Q 1999,I Q 2000,I Q 2000,II Q 2000,II Q 1999,III Q 1999,III Q 1999,IV Q 1999,IV Q 1998,I Q 1999,I Q 1999,II Q 1999, Q 0000, Q 0000,II Q 1998,IV Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),353958,288482,296253,273399,333694,282819,292752,259811,300288,253995,270776,243952,309545,261828,271823,239996,335849,281265,283143,264635,340766,295829,319279,283596,291108,248113,281300,246563,335893,274447,297735,246837,352457,313420,343676,284681,299382,302727,333135,284004,329259,295144,293976,245178,277587,290558,325391,256930,233590,210153,264801,248546,229349,198588,227647,193682,203201,165551,217313,173076,218961,198087,208457,167324,221834,184966,184966,218961,194472,184961,184961,221834,185428,160088,160088,194472,160554,149701,149701,185428,218961,277587,0,160554
Zysk (strata) z dzialal. oper. (tys. zl),17057,3029,-1353,-9699,1107,2531,3609,-4465,15301,-9566,5,-9843,-3100,-290,4300,-11930,7351,-2139,2265,-10111,30301,10179,26375,7979,19481,16665,24092,13830,-25345,5699,14893,12792,30684,22584,30185,17186,20744,18798,40181,30610,12304,3278,9820,5798,44123,51977,55954,30571,-7966,-6648,25426,19384,14823,4550,23020,-2266,14942,18876,33462,7190,49101,42599,43167,18163,67595,39795,39795,49101,52197,53064,53064,67595,55845,44817,44817,52197,43302,42441,42441,55845,49101,47541,0,43302
Zysk (strata) brutto (tys. zl),16554,-2658,-1296,-10659,1194,1441,4543,-5733,15455,-9805,-297,-9017,-1222,-1101,1977,-11459,11061,-113,977,-9787,29110,9534,26892,7528,20330,18811,25519,14435,-25119,6289,14740,13009,32896,25759,29180,18065,22147,20886,42504,33036,10697,4628,10550,8938,45341,53033,58116,32264,-14698,-8652,22363,17797,13262,-2913,18948,-6310,-2464,24303,31656,9216,57186,43840,137812,32371,73755,38751,38751,57186,54582,59711,59711,73755,52791,52702,52702,54582,49926,36271,36271,52791,57186,45448,0,49926
Zysk (strata) netto (tys. zl),15752,-7200,-5068,-14533,8171,-228,3841,-6656,10392,-9612,-1019,-10114,-143,-1472,1269,-9729,8890,-1477,1315,-8730,18011,6128,21713,5440,14918,21670,20254,11959,-30694,1083,12268,10061,26429,18660,21548,13907,15268,14272,32847,26716,8554,836,8798,7724,38330,43250,49302,25608,-178,-9306,21087,16455,1460,-4785,13019,-5938,-3572,17090,28904,4951,46630,35920,123301,24451,53826,29774,29774,46630,36358,43834,43834,53826,34096,35184,35184,36358,26148,27125,27125,34096,46630,38080,0,26148
Amortyzacja (tys. zl),24295,24974,24206,24584,24310,23417,30060,24216,23655,23804,24074,23842,23949,25291,23889,23253,22537,23096,23567,23178,22555,21984,25966,22300,20015,19770,19491,20649,22741,20106,20481,20632,20201,19784,20420,20872,20002,18926,19600,19602,25448,19067,19057,18823,29993,23891,23722,23383,34111,32179,31533,30566,34802,36330,35120,31697,22184,23364,29086,28715,9819,21384,20514,21926,12198,15500,15500,9819,11397,10905,10905,12198,10321,10186,10186,11397,15240,9234,9234,10321,2578,2578,0,15240
EBITDA (tys. zl),41352,28003,22853,14885,25417,25948,33669,19751,38956,14238,24079,13999,20849,25001,28189,11323,29888,20957,25832,13067,52856,32163,52341,30279,39496,36435,43583,34479,-2604,25805,35374,33424,50885,42368,50605,38058,40746,37724,59781,50212,37752,22345,28877,24621,74116,75868,79676,53954,26145,25531,56959,49950,49625,40880,58140,29431,37126,42240,62548,35905,58920,63983,63681,40089,79793,55295,55295,58920,63594,63969,63969,79793,66166,55003,55003,63594,58542,51675,51675,66166,51679,50119,0,58542
Aktywa (tys. zl),1610213,1545547,1574617,1506870,1556499,1524021,1544586,1529583,1642857,1619700,1620738,1538788,1702819,1684437,1666586,1635247,1803720,1763976,1760987,1692240,1805476,1804662,1804004,1774313,1538236,1550003,1544692,1653119,1598561,1571311,1545266,1521905,1600831,1628466,1655194,1601440,1532637,1574455,1603042,1567391,1503959,1510819,1522505,1502231,1456784,1521145,1572072,1524260,1376878,1362544,1380317,0,1431759,1395638,1401384,1391833,1157925,1168247,1197104,1201449,1047429,1069130,1125144,1146164,1006709,1023122,1023122,1047429,859356,919605,919605,1006709,811135,858281,858281,839745,417585,879148,879148,811135,1047429,1446284,373573,416734
Kapital wlasny (tys. zl),1153486,1144439,1101210,1086961,1149589,1149361,1143914,1137915,1189574,1179962,1178943,1138731,1188371,1187652,1189511,1179853,1246064,1245472,1196542,1187750,1221052,1231396,1232189,1237662,1196281,1218349,1216042,1198442,1167211,1158062,1168904,1178615,1215683,1245746,1251413,1211263,1165169,1189319,1149770,1177237,1125390,1137069,1128598,1139945,1137000,1180250,1201934,1164188,1065246,1049302,1070155,0,1063079,1058294,1071312,1065375,1019251,1036341,1058044,1062995,839150,875070,998372,1022823,762748,792522,792522,839150,678584,708925,708925,762748,607042,642226,642226,664978,166916,568914,568914,607042,839150,1124690,160979,166065
Liczba akcji (tys. szt.),"47665,426","47665,426","47665,426","47665,426","50937,386","50937,386","50937,386","47665,426","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","50937,386","54977,535","54977,535","54977,535","54977,535","54977,535","54977,535","54977,535","54977,535","54977,535","54977,535","54977,535","54977,535","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","44140,500","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525","56757,525"
Zysk na akcje (zl),"0,330","-0,151","-0,106","-0,305","0,160","-0,004","0,075","-0,140","0,204","-0,189","-0,020","-0,199","-0,003","-0,029","0,025","-0,191","0,175","-0,029","0,026","-0,171","0,354","0,120","0,426","0,107","0,293","0,425","0,398","0,235","-0,558","0,020","0,223","0,183","0,481","0,339","0,392","0,253","0,278","0,260","0,597","0,486","0,151","0,015","0,155","0,136","0,675","0,762","0,869","0,451","-0,003","-0,164","0,372","0,290","0,026","-0,084","0,229","-0,105","-0,063","0,301","0,509","0,087","0,822","0,633","2,172","0,431","0,948","0,525","0,525","0,822","0,641","0,772","0,772","0,948","0,601","0,620","0,620","0,641","0,592","0,478","0,478","0,601","0,822","0,671","0,000","0,461"
