index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),60574,66305,67721,60101,105579,52335,134026,44386,96282,116866,47927,57765,38044,47721,46093,95302,45756,48280,44193,38369,38987,47805,44997,42233,35470,31013,37969,33249,53160,59461,40017,36067,117134,113453,112292,68144,110362,130894,116893,101385,117847,130796,139879,100812,141449,133019,125380,90741,130890,122759,128602,116017,104756,118145,121309,102755,104511,117505,118462,88298,0,62096,72164,74313,0,0,0,0,141449,0
Zysk (strata) z dzialal. oper. (tys. zl),2369,1579,2311,1254,-2499,356,3889,-34766,-27120,3456,4360,2846,-5459,3578,45077,3628,2375,1322,868,757,1176,1464,690,2064,1263,20,2412,277,-5573,4428,2091,3252,-6288,1117,2102,-19128,2850,5280,5480,2537,-12433,4006,6475,2218,9659,19717,9269,1875,10390,20182,12187,9413,9008,20542,10986,11348,9499,10387,17853,9993,0,5511,4648,12469,0,0,0,0,10311,0
Zysk (strata) brutto (tys. zl),1036,2537,-1065,2080,-4727,-325,1472,-36586,-25524,1517,2606,1514,-7331,2131,45878,1964,1115,1526,243,627,340,651,85,-1760,369,721,-137,413,-22445,-4002,2236,3621,-4291,467,3126,-9042,5050,3281,6249,121,-13078,2215,4965,2185,8624,17453,9809,1743,9254,19365,10606,8685,7039,14016,10675,8335,10909,11800,6012,8271,0,4539,4157,8286,0,0,0,0,9101,0
Zysk (strata) netto (tys. zl),4070,2117,-528,1303,-4957,-1188,1589,61657,-18212,1929,-3489,-2003,-4905,1459,45676,1653,1257,1059,304,137,215,513,106,-1251,120,180,32,89,-18936,-4226,3439,2200,-4766,-606,226,-8010,3660,1408,4680,-10,-11430,1388,3781,1001,6029,14888,8372,507,7821,17026,9212,7324,8182,11059,8526,7677,8265,9440,5590,6118,0,3645,3097,8227,0,0,0,0,6434,0
Amortyzacja (tys. zl),2608,2801,3095,3162,4369,4092,12730,-85,3731,3643,12582,4200,989,1087,1161,3011,1334,1280,93,789,1335,1299,1303,1330,1493,1472,1485,1334,3819,2950,452,1496,4255,4498,3909,3682,4138,4297,3247,4254,4156,4133,4308,4163,3885,3660,4899,4206,3393,3304,3084,3648,2746,2583,2774,2816,3566,2660,2721,2803,0,1822,2536,2206,0,0,0,0,9071,0
EBITDA (tys. zl),4977,4380,5406,4416,1870,4448,16619,-34851,-23389,7099,16942,7046,-4470,4665,46238,6639,3709,2602,961,1546,2511,2763,1993,3394,2756,1492,3897,1611,-1754,7378,2543,4748,-2033,5615,6011,-15446,6988,9577,8727,6791,-8277,8139,10783,6381,13544,23377,14168,6081,13783,23486,15271,13061,11754,23125,13760,14164,13065,13047,20574,12796,0,7333,7184,14675,0,0,0,0,19382,0
Aktywa (tys. zl),278162,280548,287170,295752,417344,411252,402668,326620,443196,436723,447651,438752,119203,129763,443817,456812,288241,286634,0,278685,277606,274763,277778,0,283877,281930,295373,0,359843,315388,303614,0,467905,456599,450100,0,444830,461692,461954,0,403942,416122,444516,0,403528,416737,426929,0,358898,376703,403131,396758,300061,329606,336695,354355,255485,272599,317522,284671,135436,169515,187688,242581,91150,121356,117016,110324,409571,67573
Kapital wlasny (tys. zl),157259,152739,148610,147692,124639,106926,91861,154745,163363,147740,142472,139673,15618,17425,187247,188513,191000,187771,0,188579,184191,182847,181591,0,181914,182881,190467,0,182505,184410,186100,0,223487,218608,219725,0,233236,234811,237427,0,228581,228620,232996,0,212250,227098,240924,0,178024,195949,208068,209361,115847,126201,160861,168770,88516,95008,101547,107665,65872,68976,72256,80275,43668,49481,56325,62680,215905,19903
Liczba akcji (tys. szt.),"11577,873","11577,873","11577,873","11577,873","11577,873","11577,873","11577,873","11577,873","11577,873","11577,873","11577,873","11577,873","5500,000","5500,000","11577,873","11577,873","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5500,000","5000,000","5000,000","6150,000","6150,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5500,000","5000,000"
Zysk na akcje (zl),"0,352","0,183","-0,046","0,113","-0,428","-0,103","0,137","5,325","-1,573","0,167","-0,301","-0,173","-0,892","0,265","3,945","0,143","0,229","0,193","0,055","0,025","0,039","0,093","0,019","-0,227","0,022","0,033","0,006","0,016","-3,443","-0,768","0,625","0,400","-0,867","-0,110","0,041","-1,456","0,665","0,256","0,851","-0,002","-2,078","0,252","0,687","0,182","1,096","2,707","1,522","0,092","1,422","3,096","1,675","1,332","1,636","2,212","1,386","1,248","1,653","1,888","1,118","1,224","0,000","0,729","0,619","1,645","0,000","0,000","0,000","0,000","1,170","0,000"
