index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004, Q 0000,IV Q 2001,IV Q 2002
Przychody netto ze sprzedaÅ¼y (tys. zl),105334,84448,97727,89134,113970,92631,97718,112690,92592,76572,79933,106828,88768,86654,79709,81403,72575,161484,69025,87026,190811,54371,80335,81703,47315,54203,70789,62676,60403,55970,96680,51681,68894,90729,75022,67363,63173,59327,53337,89384,48729,42716,53318,56272,34759,24307,44183,34312,0,23864,26202,44151,34759,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-131033,5372,1757,972,8090,1465,4252,17358,3324,2537,6176,5303,1868,5189,65,4992,-14244,79573,-16319,1823,108459,-14604,-12213,-7323,-524209,-12961,-4420,-10673,-90806,-7284,-42446,-7214,-8726,38849,-4603,-4387,5673,12235,75460,21258,10944,12330,46194,10659,5065,-239,7016,7598,0,2443,1936,10266,5065,0,0
Zysk (strata) brutto (tys. zl),-161022,1274,-1525,-2712,6594,4801,-965,14812,-1781,-243,11810,5270,-2942,3346,1287,2952,-33481,63433,583,-13039,111203,-15442,-14863,15658,-554175,-24498,14521,-11050,-231915,-13389,-24408,-15753,-68836,7145,-18225,-16196,33015,18296,59077,7574,8282,10684,46329,17181,547,1237,8805,5873,0,1547,-40,9041,547,0,0
Zysk (strata) netto (tys. zl),-163786,1265,-4278,-2857,600,1782,-972,7988,-5653,-5053,5867,2264,-15064,-565,1148,-1373,-54326,52444,13735,-13278,102082,-16200,-18123,11095,-511156,-21317,45667,-9252,-181736,-19737,-24218,-12658,-56828,4756,-15746,-18858,26269,14016,62118,10036,6355,8544,44825,13998,-383,1120,7388,4389,0,786,-2055,8376,-383,0,0
Amortyzacja (tys. zl),8997,8666,8987,8860,8452,8606,10902,8845,8098,8220,9019,8094,8878,7324,7290,7268,9748,9105,9195,9115,10706,9350,8813,9001,11296,9705,9078,9155,6809,7404,7637,7397,5412,5167,5127,5841,2617,5062,5909,4336,2507,2515,3532,5020,3361,2267,2203,2305,0,3347,3301,3380,2578,0,0
EBITDA (tys. zl),-122036,14038,10744,9832,16542,10071,15154,26203,11422,10757,15195,13397,10746,12513,7355,12260,-4496,88678,-7124,10938,119165,-5254,-3400,1678,-512913,-3256,4658,-1518,-83997,120,-34809,183,-3314,44016,524,1454,8290,17297,81369,25594,13451,14845,49726,15679,8426,2028,9219,9903,0,5790,5237,13646,7643,0,0
Aktywa (tys. zl),1250053,1223214,1261313,1250663,1951483,1981670,2003865,2010943,1890798,1919886,1905433,1972034,1915324,1965022,1955459,1926425,2027402,2032418,2061429,2007255,1584748,1555807,1585842,1764816,1575015,1578576,1564461,1506068,2064772,2323311,2177058,0,1500255,1798826,1870994,0,988669,1263062,0,0,358123,436150,778884,0,257988,291464,308361,0,193586,0,212925,0,257988,155120,157792
Kapital wlasny (tys. zl),823279,814647,847781,835842,1360644,1376919,1375045,1387531,1299076,1300173,1305643,1328850,1244013,1262995,1269613,1318614,1199264,1261587,1272273,1232796,1093704,1067673,1062702,1200911,973848,943120,1069839,1008893,1106545,1225261,1393608,0,871106,1146410,1076849,0,787608,800658,0,0,255418,266443,413388,0,183318,224151,230276,0,89927,0,108559,0,183318,80410,81989
Liczba akcji (tys. szt.),"8586420,000","8586420,000","8586420,000","8586420,000","8586420,000","8586420,000","8586420,000","8586420,000","8586420,000","8586420,000","8586420,000","8586420,000","7302465,062","8386785,174","8386785,174","8586416,312","6025305,201","6723116,187","7302465,062","7302465,062","5379850,656","5379850,656","5479850,656","5740830,742","5290376,196","5290376,196","5290376,196","5379850,656","3059794,266","3059794,266","4445376,196","4695376,196","2721902,805","3059794,266","3059794,266","3059794,266","2640413,076","2640413,076","2721902,805","2721902,805","888909,985","890401,775","943004,670","2640413,076","808909,985","888909,985","888909,985","888909,985","808909,985","808909,985","808909,985","808909,985","161781,997","808909,985","808909,985"
Zysk na akcje (zl),"-0,019","0,000","0,000","0,000","0,000","0,000","0,000","0,001","-0,001","-0,001","0,001","0,000","-0,002","0,000","0,000","0,000","-0,009","0,008","0,002","-0,002","0,019","-0,003","-0,003","0,002","-0,097","-0,004","0,009","-0,002","-0,059","-0,006","-0,005","-0,003","-0,021","0,002","-0,005","-0,006","0,010","0,005","0,023","0,004","0,007","0,010","0,048","0,005","0,000","0,001","0,008","0,005","0,000","0,001","-0,003","0,010","-0,002","0,000","0,000"
