index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1999,I Q 2000,II Q 2000,III Q 2000,IV Q 1998,I Q 1999,II Q 1999,III Q 1999, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),27566,30733,30503,27092,27583,28371,29494,29795,27816,26138,27591,28033,28013,27294,25310,25077,30539,28488,31651,28681,26131,27460,28444,26674,17340,19480,22324,21263,18760,16961,15020,15869,20623,21270,20646,22093,23424,23280,23087,22869,25220,23306,25518,22645,28175,20506,23963,21924,27707,24715,24104,22617,21453,22180,25187,26214,15292,15344,18760,19944,29344,26392,18577,20606,40805,45554,36738,34903,0,38905,27419,27559,28175,0
Zysk (strata) z dzialal. oper. (tys. zl),2181,2860,2630,2271,1649,2297,1874,4101,900,2685,1175,2032,459,1672,1086,1929,2853,3187,2854,3805,-3157,1691,2063,2495,-269,-1157,-883,-1368,-1836,-930,-1412,-727,-8257,450,1129,-1256,3109,635,1358,1753,2243,674,1072,1274,2331,1921,1148,1663,2934,2375,3672,2265,1085,2361,2646,2426,396,-425,1098,948,-4370,1980,-876,784,3281,5202,1235,2358,0,3795,-309,1448,2331,0
Zysk (strata) brutto (tys. zl),1740,2737,3051,1848,1470,2090,1940,4081,742,2649,1069,2026,490,1847,1362,1601,2597,2992,2846,3674,-3421,1637,1679,2911,-545,-1808,145,-1466,-5971,-2144,-2835,-3490,-11452,1182,750,-2400,1305,352,1480,1129,1229,672,297,2100,1416,1717,1466,2002,3154,2057,3221,1931,-6115,641,1136,1588,-565,-613,-1371,115,-5273,1856,4891,399,1917,3717,-1428,-3326,0,3418,-592,-158,1416,0
Zysk (strata) netto (tys. zl),1206,2203,2384,1495,834,1665,1570,3161,108,2040,843,1598,820,1361,1090,1091,2119,2786,2465,3125,-3676,1120,1193,2460,-2419,-2765,697,-2258,-5469,-1911,-3085,-3770,-9969,991,492,-3034,847,232,1094,537,832,143,473,1921,1035,1156,854,1410,2090,1589,2214,1519,-6396,429,859,1121,-845,-634,-825,116,-4191,1990,4563,164,1486,2692,-780,-1296,0,1874,-832,367,1035,0
Amortyzacja (tys. zl),1555,1282,1628,1533,1360,1420,1289,1220,1106,1394,1337,1322,1111,1125,1068,1068,1006,1061,1079,1012,1176,1016,980,1049,1280,1236,1221,1231,1186,1230,1298,1334,1065,1119,1112,1192,1388,1222,1015,1042,1756,1622,965,1362,1503,1784,1484,1682,1637,1448,1539,1701,1334,1399,1385,1401,1370,1452,518,1153,3036,2211,2254,1430,1899,2604,2631,2544,0,2285,2352,2208,559,0
EBITDA (tys. zl),3736,4142,4258,3804,3009,3717,3163,5321,2006,4079,2512,3354,1570,2797,2154,2997,3859,4248,3933,4817,-1981,2707,3043,3544,1011,79,338,-137,-650,300,-114,607,-7192,1569,2241,-64,4497,1857,2373,2795,3999,2296,2037,2636,3834,3705,2632,3345,4571,3823,5211,3966,2419,3760,4031,3827,1766,1027,1616,2101,-1334,4191,1378,2214,5180,7806,3866,4902,0,6080,2043,3656,2890,0
Aktywa (tys. zl),96838,98896,101996,95110,95837,103132,99113,98242,91454,96000,97837,96707,96137,99120,99392,94489,86288,91762,91869,93500,78000,79748,84755,0,91514,86088,86501,0,110928,109742,98802,0,107208,125769,127771,0,97997,95395,99509,0,93412,93208,96135,0,96171,88442,89361,0,95182,95542,90393,0,99835,102503,98752,98114,88769,94779,96695,98665,117740,123744,112780,99089,211570,212270,224445,222562,146039,147870,156698,157805,93552,135903
Kapital wlasny (tys. zl),72688,74807,72786,74072,69066,70707,68753,71642,67308,69062,67598,69011,67353,68786,66430,67351,60762,63880,63921,66955,53116,54619,55692,0,62228,59561,60210,0,71919,69564,67061,0,31218,77994,78294,0,41027,41391,42085,0,40197,40567,38578,0,38536,39842,38400,0,33615,36240,34277,0,25073,26177,29618,30356,35239,39979,29835,29249,42653,48131,52694,46923,47823,50404,45006,43953,46417,49061,46723,48562,36737,45348
Liczba akcji (tys. szt.),"9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","9609,193","873,563","9609,193","9609,193","9609,193","873,563","873,563","873,563","873,563","855,105","855,105","855,105","873,563","855,105","855,105","855,105","855,105","855,105","855,105","855,105","855,105","976,666","855,105","855,105","855,105","976,666","976,666","976,666","976,666","976,666","976,666","976,666","976,666","976,666","976,666","976,666","976,666","976,666","976,666","976,666","976,666","855,105","976,666"
Zysk na akcje (zl),"0,126","0,229","0,248","0,156","0,087","0,173","0,163","0,329","0,011","0,212","0,088","0,166","0,085","0,142","0,113","0,114","0,221","0,290","0,257","0,325","-0,383","0,117","0,124","0,256","-0,252","-0,288","0,073","-0,235","-0,569","-0,199","-0,321","-0,392","-11,412","0,103","0,051","-0,316","0,970","0,266","1,252","0,615","0,973","0,167","0,553","2,199","1,210","1,352","0,999","1,649","2,444","1,858","2,589","1,776","-6,549","0,502","1,005","1,311","-0,865","-0,649","-0,845","0,119","-4,291","2,038","4,672","0,168","1,522","2,756","-0,799","-1,327","0,000","1,919","-0,852","0,376","1,210","0,000"
