index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),283425,300145,240338,244991,230450,255770,190922,224158,196478,212043,190749,189172,159861,156537,146810,166540,155608,147025,116321,137324,136313,130667,98281,143295,140254,108856,106371,117348,143534,140520,101967,119098,144743,119619,99631,115128,126473,121300,114035,105305,120087,107059,95094,110619,117593,99253,81898,104019,104366,88934,86567,105301,102703,79292,70486,94181,93367,72802,56368,91898,0,91437,64410,82909,0,0,0,0,123084,0
Zysk (strata) z dzialal. oper. (tys. zl),30225,43258,27664,32648,25107,32462,13598,21874,23334,27877,21437,19183,13961,17960,13344,17783,10754,11449,4673,11617,5649,25229,722,11757,11794,11775,11010,6500,-1116,9561,10652,12112,10934,5619,607,3501,7399,-635,-7010,-989,1819,664,-6371,2752,8272,5730,639,5290,12770,9711,359,6385,5564,4693,-693,8582,202,406,-1307,9093,0,-2149,-11785,94,0,0,0,0,8976,0
Zysk (strata) brutto (tys. zl),29786,42509,26238,34655,24789,31595,15295,22166,23611,29366,21779,18989,13616,17479,13233,18824,10294,11433,4531,12089,6860,25044,422,8377,17281,12987,8946,9294,-2041,8964,13006,14907,10219,5946,944,3007,14516,2136,-5295,414,4017,649,-8502,9988,10687,5877,2512,7437,12233,10275,3840,8619,5240,2719,-1944,7026,2124,-299,-5556,8589,0,-1120,-11315,-3083,0,0,0,0,10492,0
Zysk (strata) netto (tys. zl),23926,34165,19824,28325,19482,25092,11998,23389,18769,23234,17168,15284,10854,13793,10356,14938,8055,9101,4938,9580,4943,23740,423,6521,13283,10267,6869,7023,-3033,7184,10469,11781,7562,4552,456,2443,12325,1582,-3389,101,4332,105,-8759,8962,8990,4141,2230,6041,8467,7511,3420,6523,3918,1525,-1384,4591,2717,-259,-4795,7916,0,-747,-10929,-2545,0,0,0,0,9212,0
Amortyzacja (tys. zl),5453,5562,5647,5624,4420,4650,4695,4890,4210,4125,4169,4123,4040,4079,4158,4221,3569,3833,3690,3946,3931,3490,3316,3690,3832,3916,3901,3758,4142,4140,3989,3914,216,3955,3999,4162,5640,5438,5252,5202,5434,5293,5864,5099,4414,4292,4116,4718,3414,2503,3821,3850,2880,3276,3237,3222,3434,3280,2870,3469,0,4060,4050,3737,0,0,0,0,9071,0
EBITDA (tys. zl),35678,48820,33311,38272,29527,37112,18293,26764,27544,32002,25606,23306,18001,22039,17502,22004,14323,15282,8363,15563,9580,28719,4038,15447,15626,15691,14911,10258,3026,13701,14641,16026,11150,9574,4606,7663,13039,4803,-1758,4213,7253,5957,-507,7851,12686,10022,4755,10008,16184,12214,4180,10235,8444,7969,2544,11804,3636,3686,1563,12562,0,1911,-7735,3831,0,0,0,0,18047,0
Aktywa (tys. zl),738350,795760,823484,924182,638730,685329,636960,678999,554854,605546,609950,595110,484127,505409,517927,531957,473797,485081,471213,484080,467372,461608,464557,0,447748,448533,449795,0,445864,429537,407373,0,434744,433228,424738,0,429621,423294,426405,0,432640,427346,412075,0,366756,371041,0,409029,230824,301289,371443,383834,215513,215311,217421,239316,201426,201390,202289,221553,245245,233532,207316,215772,234337,231084,248248,235625,343930,208602
Kapital wlasny (tys. zl),474796,512055,485661,539210,417590,456142,412530,448024,380896,403652,386649,402062,345234,357578,342403,361257,311161,332071,317546,336113,304769,326754,309670,0,300204,317095,293711,0,257227,267612,272675,0,251389,254675,253632,0,255298,257257,246759,0,247761,239892,237160,0,226091,230530,0,233706,115356,138175,212087,218274,103657,104057,102471,107209,96935,96557,91610,99446,108477,108653,98964,94202,112774,111283,113463,105939,206692,110903
Liczba akcji (tys. szt.),"23901,084","23901,084","23901,084","23901,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23751,084","23740,584","23751,084","23751,084","23751,084","23683,084","23683,084","23683,084","23683,084","17308,372","17308,372","23683,084","23683,084","17308,372","17308,372","17308,372","17308,372","17308,372","17308,372","17308,372","17308,372","17308,372","17308,372","17308,372","17308,372","17308,372","17308,372","17308,372","17308,372","23683,084","17308,372"
Zysk na akcje (zl),"1,001","1,429","0,829","1,185","0,820","1,056","0,505","0,985","0,790","0,978","0,723","0,644","0,457","0,581","0,436","0,629","0,339","0,383","0,208","0,403","0,208","1,000","0,018","0,275","0,559","0,432","0,289","0,296","-0,128","0,302","0,441","0,496","0,318","0,192","0,019","0,103","0,519","0,067","-0,143","0,004","0,182","0,004","-0,369","0,377","0,380","0,175","0,094","0,255","0,489","0,434","0,144","0,275","0,226","0,088","-0,080","0,265","0,157","-0,015","-0,277","0,457","0,000","-0,043","-0,631","-0,147","0,000","0,000","0,000","0,000","0,389","0,000"
