index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,I Q 2005,II Q 2005,III Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),19782,24870,25115,22812,17739,21577,21101,21916,22755,24410,23641,22537,18637,19427,23152,23424,17145,18120,19770,19993,13385,16070,22867,19203,10322,11304,13727,14513,11813,10894,12347,10830,17216,17177,15401,12265,13323,15540,18404,21038,12881,13089,15668,14455,9928,13039,11816
Zysk (strata) z dzialal. oper. (tys. zl),377,2054,1672,1936,-380,608,562,221,-10,145,65,77,211,221,1340,400,818,93,-5,326,1212,227,135,822,-57,7,497,237,119,888,504,230,96,616,737,371,-804,-413,-1137,-216,493,336,700,161,194,-120,567
Zysk (strata) brutto (tys. zl),322,1973,1549,1923,-564,548,632,222,-76,37,-25,-3,74,44,1241,297,1551,86,-144,287,762,183,75,679,-124,21,480,250,-240,652,393,216,-431,163,791,-274,-1435,-822,-1607,-779,381,83,422,-177,21,-244,389
Zysk (strata) netto (tys. zl),441,1801,1343,1554,-238,453,476,53,-162,-11,-104,-169,57,32,1114,143,1162,14,-32,300,987,165,-160,673,-305,21,242,134,-240,652,393,216,70,161,772,-271,-1121,-682,-1874,-848,274,63,272,-246,-3,-246,363
Amortyzacja (tys. zl),815,807,902,776,902,810,801,775,855,846,857,891,898,827,847,847,777,802,785,867,693,691,706,728,603,685,683,691,725,723,752,686,954,699,686,688,452,486,632,750,294,334,387,398,277,235,280
EBITDA (tys. zl),1192,2861,2574,2712,522,1418,1363,996,845,991,922,968,1109,1048,2187,1247,1595,895,780,1193,1905,918,841,1550,546,692,1180,928,844,1611,1256,916,1050,1315,1423,1059,-352,73,-505,534,787,670,1087,559,471,115,847
Aktywa (tys. zl),62647,65783,65145,62390,55349,56141,56749,59209,57383,59021,60704,56447,59701,55528,59305,61442,55852,60363,61310,60229,53178,53422,61445,0,46418,49043,52258,0,49026,53270,50009,0,55786,59122,56889,0,52647,53368,61212,0,40550,45093,49004,0,45743,38469,0
Kapital wlasny (tys. zl),32139,33933,35048,36599,30917,31354,31703,31708,30224,30718,30045,29848,29149,29774,30242,30385,31798,31662,31150,31006,30794,32168,30554,0,27863,30921,29806,0,28055,29286,28551,0,18401,27435,27857,0,23600,22696,20482,0,24943,25181,25453,0,24959,24713,0
Liczba akcji (tys. szt.),"866,100","866,100","866,100","876,018","866,100","866,100","866,100","866,100","866,100","866,100","866,100","866,100","866,100","866,100","866,100","866,100","866,100","866,100","866,100","866,100","866,100","866,100","866,100","866,100","787,400","787,400","866,100","866,100","787,400","787,400","787,400","787,400","393,700","787,400","787,400","787,400","393,700","393,700","393,700","393,700","393,700","393,700","393,700","393,700","393,700","393,700","393,700"
Zysk na akcje (zl),"0,509","2,079","1,551","1,774","-0,275","0,523","0,550","0,061","-0,187","-0,013","-0,120","-0,195","0,066","0,037","1,286","0,165","1,342","0,016","-0,037","0,346","1,140","0,191","-0,185","0,777","-0,387","0,027","0,279","0,155","-0,305","0,828","0,499","0,274","0,178","0,204","0,980","-0,344","-2,847","-1,732","-4,760","-2,154","0,696","0,160","0,691","-0,625","-0,008","-0,625","0,922"
Wartosc ksiegowa na akcje (zl),"37,108","39,179","40,466","41,779","35,697","36,201","36,604","36,610","34,897","35,467","34,690","34,463","33,655","34,377","34,917","35,083","36,714","36,557","35,966","35,800","35,555","37,141","35,278","0,000","35,386","39,270","34,414","0,000","35,630","37,193","36,260","0,000","46,739","34,843","35,378","0,000","59,944","57,648","52,024","0,000","63,355","63,960","64,651","0,000","63,396","62,771","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
