index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),176477,143207,137325,131838,206755,142655,131097,135826,118668,111843,111543,149124,147309,137885,122754,138064,115226,153837,122909,158710,99914,86045,96218,109446,102856,114132,117734,94616,165124,134381,96017,98172,95028,89659,91213,96061,72752,65393,125598,87706,58918,90919,93443,76135,86411,57179,55048,86794,96853,72856,88287,84560,77454,63277,85041,67236,117487,49271,44344,68786,0,66837,81680,72834,0,0,0,0,74874,0
Zysk (strata) z dzialal. oper. (tys. zl),766868,167044,236938,82955,73293,-80863,112144,112910,18392,490148,27110,69370,157050,245707,248733,-2346,48584,-31970,104900,-40529,35490,127129,40074,323578,-20994,-62601,202258,-6456,548910,402016,-90026,-94856,51340,41227,10719,70824,35918,89503,176767,76862,29951,87491,81648,175968,-52753,93400,57951,110690,24972,63214,-11305,-23257,12404,16383,19385,17332,14326,11692,10986,16597,0,15141,15178,14527,0,0,0,0,20163,0
Zysk (strata) brutto (tys. zl),588931,120975,-8310,46482,-42393,5672,22528,60548,7443,443492,9389,32945,136166,156883,151694,6497,30185,32786,37077,-22131,31486,69388,22363,78420,19334,35717,35544,34423,49777,65039,22667,22606,65454,32871,39214,24465,47046,74695,187971,65376,44326,72143,54990,171875,-13795,75121,46637,100722,7414,47441,7868,-7158,6428,11130,13605,10397,11190,15065,11548,7972,0,6973,5431,6399,0,0,0,0,10876,0
Zysk (strata) netto (tys. zl),441069,187692,111263,52441,-48145,7110,15627,50285,23660,408342,15108,29580,333091,156054,146023,5366,29190,30661,67341,-19451,31832,55243,19864,72196,19054,29765,27307,58834,29947,52777,18353,13512,50897,26232,27867,17682,38584,60694,150205,57454,16813,56784,45400,137364,-9918,59007,37509,81085,6279,37591,4821,-6095,1386,7431,7780,7199,6975,10358,7430,4686,0,5102,3115,5284,0,0,0,0,10163,0
Amortyzacja (tys. zl),941,1020,485,945,1471,1230,1255,1080,2975,1223,1135,1143,1394,1049,1651,-546,3819,4668,-1708,1307,2252,1169,-148,3033,1160,897,960,-98,1039,1196,983,1050,2781,1466,1225,1116,1224,1023,793,1112,156,3070,-307,993,6298,1455,1875,1301,6527,1688,5982,6411,3856,4911,5105,5109,3222,3799,3980,4642,0,3149,3233,3196,0,0,0,0,47173,0
EBITDA (tys. zl),767809,168064,237423,83900,74764,-79633,113399,113990,21367,491371,28245,70513,158444,246756,250384,-2892,52403,-27302,103192,-39222,37742,128298,39926,326611,-19834,-61704,203218,-6554,549949,403212,-89043,-93806,54121,42693,11944,71940,37142,90526,177560,77974,30107,90561,81341,176961,-46455,94855,59826,111991,31499,64902,-5323,-16846,16260,21294,24490,22441,17548,15491,14966,21239,0,18290,18411,17723,0,0,0,0,67336,0
Aktywa (tys. zl),8388951,8211060,5549857,4000034,6548652,6519510,6728949,6890168,6164022,6551370,6271366,6298521,5453173,5566281,5740792,5908711,5349481,5130236,5211961,5247937,4490959,4882325,4875863,0,4272284,4260906,4469388,0,4197976,4556028,4365598,0,3443292,3406727,3343378,0,2739514,2912498,3242174,0,2149700,2261703,2392222,0,1889329,1997881,1957810,0,1362561,1815754,1920269,0,1179244,1223643,1257020,1356330,966270,996172,1040790,1128093,942009,938919,932819,987946,324499,381359,587800,822058,1524901,205977
Kapital wlasny (tys. zl),3663596,3263402,1797582,1843105,3152634,3155593,3168484,3218730,2765438,3160068,3168327,3197442,2431620,2593201,2746886,2745193,2095577,2092383,2166654,2100709,1875575,1941054,1956805,0,1733686,1757548,1788529,0,1640600,1701492,1718912,0,1519065,1540731,1568704,0,1195243,1255931,1409326,0,917103,973887,1019287,0,722119,781696,819205,0,340017,708826,737996,0,306519,313877,321705,328977,213154,223512,230643,235329,200431,206249,208641,211777,107931,133994,145885,176290,371318,91711
Liczba akcji (tys. szt.),"412690,582","412690,582","412690,582","412690,582","412690,582","412690,582","412690,582","412690,582","412690,582","412690,582","412690,582","412690,582","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","420000,000","140000,000","140000,000","140000,000","140000,000","140000,000","140000,000","140000,000","140000,000","140000,000","140000,000","140000,000","140000,000","10500,000","140000,000"
Zysk na akcje (zl),"1,069","0,455","0,270","0,127","-0,117","0,017","0,038","0,122","0,057","0,989","0,037","0,072","0,793","0,372","0,348","0,013","0,070","0,073","0,160","-0,046","0,076","0,132","0,047","0,172","0,045","0,071","0,065","0,140","0,071","0,126","0,044","0,032","0,121","0,062","0,066","0,042","0,092","0,145","0,358","0,137","0,040","0,135","0,108","0,327","-0,024","0,140","0,089","0,193","0,015","0,090","0,011","-0,015","0,003","0,018","0,019","0,017","0,050","0,074","0,053","0,033","0,000","0,036","0,022","0,038","0,000","0,000","0,000","0,000","0,968","0,000"
