index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),5148000,3912000,4544000,4685000,5776000,4731000,5329000,4800000,6124000,4650000,4878000,5188000,6806000,6520000,5998000,5468000,5365000,6108000,7003000,6788000,5051237,5346540,5874632,5775686,3601799,3599730,4212047,4162834,2817524,2619934,2991980,2906197,3273469,3339813,3410956,3086592,3035861,2929706,3538193,3752760,2709329,2703709,3472348,3650943,1708435,1919551,2081182,2319434,1518371,1778233,1974180,1677919,1475447,1304682,1300137,1483611,1171401,1258853,1234408,1296410,0,1304309,1274024,1253747,0,0,0,0,1843692,0
Zysk (strata) z dzialal. oper. (tys. zl),-6880000,113000,729000,339000,711000,713000,1151000,200000,889000,674000,969000,1070000,1158000,1628000,998000,794000,4418000,1796000,1860000,1652000,1536016,2457960,2640163,3711241,732760,946904,1847538,1184548,325974,834044,624527,488007,939898,1008744,954884,896760,612116,919418,1207141,1460496,604076,1040720,1190539,1176373,215155,598280,588366,766705,418702,493578,626519,314690,-321340,99511,45831,137772,-514361,55725,59541,60816,0,98711,-19833,-16646,0,0,0,0,232874,0
Zysk (strata) brutto (tys. zl),-6962000,343000,340000,531000,612000,577000,1116000,147000,922000,625000,919000,942000,1131000,1552000,943000,755000,4401000,1776000,1810000,1603000,1525664,2447025,2629333,3696632,735034,935295,1833866,1173339,342270,869609,707712,561187,996111,1066782,1024658,962737,661404,965833,1267944,1526999,655728,1082871,1234849,1234302,227329,628106,607699,838224,461302,492745,649176,309532,-290659,116191,53555,115817,-726246,46218,-3623,83087,0,69183,-12501,-119516,0,0,0,0,177740,0
Zysk (strata) netto (tys. zl),-6237000,161000,135000,329000,672000,397000,795000,33000,679000,417000,683000,678000,770000,1103000,685000,518000,3593000,1416000,1352000,1207000,1266338,2031325,2281893,3193040,572215,825336,1571027,1046245,255400,705356,585803,464619,860301,877812,841598,791369,591598,792492,1032842,1248924,406469,872780,1074942,1006150,190132,511198,493051,691614,442896,401305,523485,261199,-287643,73216,27289,117915,-703728,4390,-5955,64674,0,36274,-21675,-141814,0,0,0,0,191332,0
Amortyzacja (tys. zl),469000,397000,413000,431000,439000,564000,380000,530000,437000,401000,392000,403000,447000,368000,326000,449000,218886,287000,488000,502000,282159,233167,-199495,660442,196882,207252,0,0,183970,178755,183738,184415,154316,164569,165852,166976,0,142467,146420,154343,0,0,0,0,91761,0,0,0,116951,0,117266,113993,128411,125634,123542,102363,244093,116246,139587,126161,0,119626,121459,140173,0,0,0,0,141,0
EBITDA (tys. zl),-6411000,510000,1142000,770000,1150000,1277000,1531000,730000,1326000,1075000,1361000,1473000,1605000,1996000,1324000,1243000,4636886,2083000,2348000,2154000,1818175,2691127,2440668,4371683,929642,1154156,1847538,1184548,509944,1012799,808265,672422,1094214,1173313,1120736,1063736,612116,1061885,1353561,1614839,604076,1040720,1190539,1176373,306916,598280,588366,766705,535653,493578,743785,428683,-192929,225145,169373,240135,-270268,171971,199128,186977,0,218337,101626,123527,0,0,0,0,233015,0
Aktywa (tys. zl),36764000,37098000,38411000,37891000,40374000,42781000,42426000,42955000,34465000,35597000,36474000,38947000,33962000,35068000,36003000,34844000,30650000,36280904,37759422,34160550,21240729,22538335,25152593,26437186,14890420,16448152,17950279,0,15000105,15181628,15471974,0,13503398,14181651,14865282,0,13227869,13795372,14659888,0,11048716,11551111,13754250,0,9362296,9268994,9883263,0,8565125,0,0,9011329,7894841,8075249,8351113,8469999,7948954,8178941,8140884,8062991,7456181,7787641,8002256,8396178,5363153,5268000,5240043,5588504,9292985,5344437
Kapital wlasny (tys. zl),20211000,20321000,20258000,20529000,25302000,26178000,26346000,26145000,22841000,23541000,22953000,24245000,21682000,23230000,22520000,22459000,23102000,23844158,20390604,20775888,14666234,16703647,16178304,19731737,10498257,11303591,12498109,0,10924505,11303793,9366210,0,9453988,10329859,9369071,0,8469150,9304619,7264409,0,6342690,6679090,5282957,0,5638250,6005006,6092691,0,3489257,0,0,4966565,3074791,3168838,3455047,3395274,3142786,3136634,3182015,3235732,4090896,4190812,3981911,3850935,4111513,4058910,3593270,3882019,5336139,4086623
Liczba akcji (tys. szt.),"200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000"
Zysk na akcje (zl),"-31,185","0,805","0,675","1,645","3,360","1,985","3,975","0,165","3,395","2,085","3,415","3,390","3,850","5,515","3,425","2,590","17,965","7,080","6,760","6,035","6,332","10,157","11,409","15,965","2,861","4,127","7,855","5,231","1,277","3,527","2,929","2,323","4,302","4,389","4,208","3,957","2,958","3,962","5,164","6,245","2,032","4,364","5,375","5,031","0,951","2,556","2,465","3,458","2,214","2,007","2,617","1,306","-1,438","0,366","0,136","0,590","-3,519","0,022","-0,030","0,323","0,000","0,181","-0,108","-0,709","0,000","0,000","0,000","0,000","0,957","0,000"
