index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),1328380,1463576,1388129,1319441,1228512,1492407,1564037,1293156,1147133,1228587,1305343,1295678,1163758,1211827,1230353,1249033,1196856,1257963,1260837,1198629,913273,1021633,1037806,1075829,601387,671767,718770,830982,612769,520171,524777,581174,924000,941675,896243,792147,1330566,1262676,1307606,1079034,860470,1191173,1386890,1469610,311850,284886,328295,400254,816124,295947,306190,319224,36920,25976,33468,45890,35605,24018,31711,40597,0,27826,26449,34235,0,0,0,0,307802,0
Zysk (strata) z dzialal. oper. (tys. zl),30866,66313,88605,88949,53583,49906,19304,37945,3967,33957,45165,77650,-20511,28333,19295,45465,62959,61636,65048,28119,-41209,48408,90654,63525,49481,29516,46098,65768,-110029,21190,37597,29690,9366,10539,-1318,29072,28982,99675,94284,53847,73008,23591,62739,62437,12192,17826,3681,20848,41143,25429,34780,18206,3295,1799,3731,8522,5712,2532,3671,7697,0,1221,2701,4771,0,0,0,0,10615,0
Zysk (strata) brutto (tys. zl),14949,53046,60342,84078,36500,45365,21888,7283,-8859,23302,39548,52351,-36815,20214,4746,36290,51951,45323,56492,34077,-59084,42160,88255,41647,13193,22607,38509,57426,-130947,4516,29441,22383,-4796,-9466,-11109,15431,-32791,253,57541,34538,80991,73599,51554,72159,14967,17128,3744,26588,36419,25907,35882,15956,2800,3992,4877,10947,5363,3236,5018,10594,0,1071,2017,5034,0,0,0,0,19000,0
Zysk (strata) netto (tys. zl),5813,35967,31419,59147,33170,26498,6533,1198,915,10973,25425,40343,-34413,8906,-5265,9199,50743,28694,26532,18465,-55870,18733,51319,25968,7946,8411,21058,31550,-193809,-2541,23555,10785,-30877,-10569,-15653,-2460,-44895,12679,36898,9294,80552,43841,15923,34454,12532,15677,4655,23916,15010,23896,28593,12635,-3969,9632,11535,10765,7309,7042,12353,15296,0,3352,6069,3566,0,0,0,0,16370,0
Amortyzacja (tys. zl),33243,32037,27022,30657,28963,28430,29243,29988,14441,25760,25936,32247,26413,26176,27916,41329,18814,27304,26626,29260,18351,24968,23767,30792,17242,19844,18131,19659,26094,19066,19581,20197,28281,27006,27423,27863,27957,27418,27446,27948,20338,25200,26490,27159,9383,8976,8817,9577,37736,9571,9068,10067,126,-1177,-1235,-1235,327,-148,-779,-1053,0,649,450,251,0,0,0,0,2578,0
EBITDA (tys. zl),64109,98350,115627,119606,82546,78336,48547,67933,18408,59717,71101,109897,5902,54509,47211,86794,81773,88940,91674,57379,-22858,73376,114421,94317,66723,49360,64229,85427,-83935,40256,57178,49887,37647,37545,26105,56935,56939,127093,121730,81795,93346,48791,89229,89596,21575,26802,12498,30425,78879,35000,43848,28273,3421,622,2496,7287,6039,2384,2892,6644,0,1870,3151,5022,0,0,0,0,13193,0
Aktywa (tys. zl),3452791,3655618,3703193,3774226,3350187,3470133,3601109,3463732,2921196,3067874,3190421,3419939,2749068,2856067,2920708,2882409,2721862,2846602,2898768,2864134,2211367,2442838,2339136,0,2007340,2048305,2064110,0,2291328,2220455,2119873,0,2831029,2833032,2748411,0,3010612,2981029,3087221,0,2739692,2882030,3069995,0,852616,1141009,1196495,0,583393,718305,766183,0,183352,175683,204998,215423,145375,149339,174358,185195,97117,123815,124934,145329,62112,61951,69922,79947,743710,64671
Kapital wlasny (tys. zl),857511,890366,903280,963975,851434,869070,833574,828230,628029,633639,657307,821022,647630,655079,636973,606001,670404,706106,704240,701392,514292,637268,580030,0,417928,418059,464285,0,393770,391498,424786,0,586798,565917,548768,0,542173,556966,593483,0,494817,549139,567134,0,398749,414630,414419,0,103774,349927,373614,0,103970,93380,125944,136727,74766,75150,82912,97066,54093,57388,63828,67345,40045,40447,50547,50370,230333,37938
Liczba akcji (tys. szt.),"240000,000","240000,000","240000,000","240000,000","240000,000","240000,000","240000,000","240000,000","220000,000","220000,000","220000,000","220000,000","225671,569","225671,569","225671,569","220000,000","225671,569","225671,569","225671,569","225671,569","112835,785","112835,785","112835,785","225671,569","6268,655","6268,655","37611,928","37611,928","6268,655","6268,655","6268,655","6268,655","6268,655","6268,655","6268,655","6268,655","6268,655","6268,655","6268,655","6268,655","9116,050","6268,655","6268,655","6268,655","11912,500","9116,050","9116,050","9116,050","11221,300","11912,500","11912,500","11912,500","11221,300","11221,300","11221,300","11221,300","11221,300","11221,300","11221,300","11221,300","11221,300","11221,300","11221,300","11221,300","11221,300","11221,300","11221,300","11221,300","119212,500","11221,300"
Zysk na akcje (zl),"0,024","0,150","0,131","0,246","0,138","0,110","0,027","0,005","0,004","0,050","0,116","0,183","-0,152","0,039","-0,023","0,042","0,225","0,127","0,118","0,082","-0,495","0,166","0,455","0,115","1,268","1,342","0,560","0,839","-30,917","-0,405","3,758","1,720","-4,926","-1,686","-2,497","-0,392","-7,162","2,023","5,886","1,483","8,836","6,994","2,540","5,496","1,052","1,720","0,511","2,624","1,338","2,006","2,400","1,061","-0,354","0,858","1,028","0,959","0,651","0,628","1,101","1,363","0,000","0,299","0,541","0,318","0,000","0,000","0,000","0,000","0,137","0,000"
