index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1999,I Q 2000,II Q 2000,III Q 2000, Q 0000,II Q 1998,IV Q 1998,II Q 1999
Przychody netto ze sprzedaÅ¼y (tys. zl),2926000,2803000,2903000,2851000,3087000,2930000,3013000,2971000,3157000,2995000,3084000,3046000,3482000,3267000,3303000,3196000,3724000,3520000,3667000,3472000,3957000,3729000,3790000,3679000,4005000,3873000,3987000,3898000,4579000,4312000,4185000,4058000,4650000,4527000,4520000,4539000,4686000,4440000,4507000,4647000,4686000,4563000,4642000,4734000,4666000,4441000,4601000,4614000,4705399,4588000,4594000,4682000,4607603,4491839,4570885,4562911,4479165,4380378,4418137,4579082,4322322,4199076,4314341,4336631,0,3671307,3896290,3989215,4683534,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-118000,215000,142000,137000,118000,246000,232000,212000,-61000,391000,200000,277000,189000,241000,218000,390000,199000,404000,458000,523000,430000,367000,1151000,500000,457000,474000,507000,-503000,474000,610000,501000,529000,821000,940000,984000,915000,684000,784000,677000,963000,612000,877000,792000,1014000,929000,975000,1070000,1170000,442664,1009000,919000,931000,522233,989710,895059,968824,-300603,828797,677954,844360,389844,949596,670157,710902,0,890236,777246,965316,870661,0,0,0
Zysk (strata) brutto (tys. zl),-199000,119000,46000,58000,35000,188000,156000,136000,-179000,272000,82000,192000,14000,107000,110000,272000,98000,296000,331000,377000,312000,236000,1062000,389000,330000,359000,409000,-631000,99000,411000,436000,421000,757000,823000,900000,773000,516000,644000,612000,817000,481000,604000,678000,836000,741000,657000,734000,1098000,40927,836000,808000,892000,520419,248540,546196,653511,-53250,209510,-83592,350694,527966,1058245,606671,-430751,0,612613,287403,524371,726257,0,0,0
Zysk (strata) netto (tys. zl),-153000,98000,17000,37000,30000,171000,126000,110000,-102000,271000,94000,140000,51000,81000,76000,239000,358000,242000,255000,307000,218000,189000,994000,376000,251000,285000,324000,-720000,179000,328000,375000,327000,616000,681000,698000,630000,381000,518000,495000,644000,484000,505000,544000,664000,524000,412000,455000,937000,-24424,583000,571000,628000,621879,185999,269883,486655,-137255,104953,-87180,200739,372323,745225,379392,-375018,0,415054,192668,350487,532980,0,0,0
Amortyzacja (tys. zl),712000,653000,683000,695000,770000,710000,733000,716000,758000,750000,794000,759000,813000,791000,783000,775000,836000,819000,834000,801000,945000,978000,989000,900000,989000,941000,965000,941000,1095000,1060000,1053000,1048000,1100000,1067000,1094000,1061000,1055000,1115000,1133000,1091000,1052000,1115000,1192000,1127000,985364,1105000,1002000,1101000,1118602,1057000,1053627,1197726,1154108,1077665,1096847,1047949,994619,1027528,1014390,1090513,839927,892747,932922,982934,0,728351,732082,768475,3748,0,0,0
EBITDA (tys. zl),594000,868000,825000,832000,888000,956000,965000,928000,697000,1141000,994000,1036000,1002000,1032000,1001000,1165000,1035000,1223000,1292000,1324000,1375000,1345000,2140000,1400000,1446000,1415000,1472000,438000,1569000,1670000,1554000,1577000,1921000,2007000,2078000,1976000,1739000,1899000,1810000,2054000,1664000,1992000,1984000,2141000,1914364,2080000,2072000,2271000,1561266,2066000,1972627,2128726,1676341,2067375,1991906,2016773,694016,1856325,1692344,1934873,1229771,1842343,1603079,1693836,0,1618587,1509328,1733791,874409,0,0,0
Aktywa (tys. zl),21652000,24455000,24446000,23940000,22104000,21855000,22186000,21963000,22802000,22499000,22658000,21923000,24163000,23572000,23196000,22775000,28219000,25284000,25069000,23927000,28873000,28707000,29705000,26968000,29365000,29144000,29395000,27718000,31234000,30433000,30923000,0,32422000,31915000,31323000,0,32611000,31922000,32332000,0,35330000,33771000,33075000,0,34861000,35273000,34446000,0,37032842,0,35234811,36408594,36889183,35358362,35961668,36429193,35545894,34831834,35129569,35549645,32914093,34137900,33662622,34621120,26466000,27812984,28241640,28679023,35036787,18571641,24328472,23907162
Kapital wlasny (tys. zl),11975000,12044000,11774000,11816000,12396000,12554000,12074000,12203000,12629000,12908000,12329000,12411000,12956000,13043000,12459000,12716000,14331000,14492000,12670000,12945000,14620000,14803000,13793000,14200000,16539000,16845000,15161000,14402000,17217000,17580000,15966000,0,17760000,18457000,17123000,0,18090000,18615000,17092000,0,17381000,18420000,17619000,0,16145000,17977000,16503000,0,13425485,0,14555477,15072657,12661160,12790686,12918484,13433909,11896520,11996055,11826269,12041785,11362668,12129408,12585755,12212837,10104507,10518697,10621273,10974846,15601497,9044519,9575712,9673337
Liczba akcji (tys. szt.),"1312357,479","1312357,479","1312357,479","1312357,479","1312357,479","1312357,479","1312357,479","1312357,479","1312357,479","1312357,479","1312357,479","1312357,479","1335649,021","1335649,021","1312357,479","1312357,479","1335649,021","1335649,021","1335649,021","1335649,021","1335649,021","1335649,021","1335649,021","1335649,021","1335649,021","1335649,021","1335649,021","1335649,021","1368773,241","1335649,021","1335649,021","1335649,021","1400000,000","1368773,241","1368773,241","1368773,241","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000","1400000,000"
Zysk na akcje (zl),"-0,117","0,075","0,013","0,028","0,023","0,130","0,096","0,084","-0,078","0,206","0,072","0,107","0,038","0,061","0,058","0,182","0,268","0,181","0,191","0,230","0,163","0,142","0,744","0,282","0,188","0,213","0,243","-0,539","0,131","0,246","0,281","0,245","0,440","0,498","0,510","0,460","0,272","0,370","0,354","0,460","0,346","0,361","0,389","0,474","0,374","0,294","0,325","0,669","-0,017","0,416","0,408","0,449","0,444","0,133","0,193","0,348","-0,098","0,075","-0,062","0,143","0,266","0,532","0,271","-0,268","0,000","0,296","0,138","0,250","0,381","0,000","0,000","0,000"
