index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),35259,23197,31367,32913,48016,26634,31993,36408,64930,44657,33123,38277,47335,27802,28076,37810,50902,27525,40244,38500,45968,36513,37727,32291,33373,18199,25151,23223,43809,25415,27579,32989,40317,46578,58896,61240,34284,30346,32340,35870,32357,22131,35908,59637,22394,21966,35042,31221,21949,18625,23006,26143,18317,13239,14724,27412,17465,15672,14585,19984,0,17499,17882,17141,0,0,0,0,22394,0
Zysk (strata) z dzialal. oper. (tys. zl),-10512,-295,634,2669,2199,72,840,2805,4029,-1361,-2655,213,5103,-1167,-538,1271,1995,1952,1623,2332,-647,-1503,104,-381,902,-4704,-3435,-4561,2167,-600,-853,791,7053,2524,1796,4979,1044,1566,1870,2694,773,364,1915,3916,441,477,2201,2808,-188,849,1121,1053,-136,-127,896,2751,887,65,601,787,0,637,431,-390,0,0,0,0,483,0
Zysk (strata) brutto (tys. zl),-10834,-148,551,2560,2225,144,436,2866,3794,-1407,-2603,261,5133,-897,-394,1622,2178,1184,1681,2047,-725,-1564,220,117,837,-5320,-3307,-4394,3697,-283,-489,1053,7531,2535,1120,5929,1707,1776,2221,2554,879,481,2145,3744,-409,441,1797,2420,275,516,304,520,25,66,513,2361,-218,264,992,1121,0,453,-191,211,0,0,0,0,-503,0
Zysk (strata) netto (tys. zl),-10543,-242,50,1756,2285,146,247,2261,3845,-1373,-3113,207,3428,-928,-190,1135,2059,865,1297,1670,-420,-1411,270,145,1161,-4645,-2213,-3691,2927,-715,-724,505,6982,2052,708,4652,1303,1422,1749,1926,773,370,1737,3005,-362,332,1419,1807,554,450,221,404,83,52,292,1703,-216,121,743,684,0,308,-138,80,0,0,0,0,-439,0
Amortyzacja (tys. zl),849,833,833,822,890,837,873,850,739,797,800,780,819,721,759,687,801,766,772,770,915,812,786,782,1143,967,955,961,1041,1040,813,988,1144,933,938,942,450,451,522,593,419,423,414,438,189,373,405,476,364,409,375,331,335,344,341,387,348,363,374,383,0,317,333,331,0,0,0,0,1,0
EBITDA (tys. zl),-9663,538,1467,3491,3089,909,1713,3655,4768,-564,-1855,993,5922,-446,221,1958,2796,2718,2395,3102,268,-691,890,401,2045,-3737,-2480,-3600,3208,440,-40,1779,8197,3457,2734,5921,1494,2017,2392,3287,1192,787,2329,4354,630,850,2606,3284,176,1258,1496,1384,199,217,1237,3138,1235,428,975,1170,0,954,764,-59,0,0,0,0,484,0
Aktywa (tys. zl),131367,125039,126737,131412,148945,141919,141873,146884,159675,156418,137461,148408,143579,138464,138344,147342,142897,137908,140933,143047,143824,140945,136164,0,145655,137453,134457,0,161362,160696,152694,0,135610,158051,173986,0,71383,123663,123229,0,54674,50675,66264,0,43071,47334,56628,0,40252,41807,40926,41612,34114,31826,35482,39791,32243,31513,32190,36431,33280,35244,36842,35326,23201,27067,30541,34707,38933,19624
Kapital wlasny (tys. zl),93609,93405,93705,95268,104898,104841,101807,104086,109963,107792,102294,102515,109014,108149,105639,106579,101907,102679,104018,105613,100736,99330,99597,0,110847,106248,104100,0,115795,115138,108511,0,107451,109739,107678,0,45488,98247,97933,0,30977,31347,30962,0,27866,28199,28397,0,25425,27770,26348,27004,23441,23452,22828,24518,22229,22350,22998,23621,24250,24669,22609,23026,17825,22366,24027,25669,24872,14803
Liczba akcji (tys. szt.),"5982,716","5982,716","5982,716","5982,716","5982,716","5982,716","5982,716","5982,716","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","6024,000","4518,000","6024,000","6024,000","6024,000","4518,000","4518,000","4518,000","4518,000","4518,000","4518,000","4518,000","4518,000","4522,000","4522,000","4518,000","4518,000","4596,000","4596,000","4522,000","4522,000","4596,000","4596,000","4596,000","4596,000","4596,000","4596,000","4596,000","4596,000","4596,000","4596,000","4596,000","4596,000","4518,000","4596,000"
Zysk na akcje (zl),"-1,762","-0,040","0,008","0,294","0,382","0,024","0,041","0,378","0,638","-0,228","-0,517","0,034","0,569","-0,154","-0,032","0,188","0,342","0,144","0,215","0,277","-0,070","-0,234","0,045","0,024","0,193","-0,771","-0,367","-0,613","0,486","-0,119","-0,120","0,084","1,159","0,341","0,118","0,772","0,288","0,236","0,290","0,320","0,171","0,082","0,384","0,665","-0,080","0,073","0,314","0,400","0,123","0,100","0,049","0,089","0,018","0,011","0,065","0,377","-0,047","0,026","0,162","0,149","0,000","0,067","-0,030","0,017","0,000","0,000","0,000","0,000","-0,097","0,000"
